FIGER_train                             	Curtin Township                                                                                     	The township is bordered by Burnside Township to the northwest ,                                                                                                                                                                                                                                            	|to the northeast , Boggs and Union Townships to the southeast and Rush Township and Clearfield County to the southwest .                                                                                                                                                                                    
FIGER_train                             	Queen Mary , University of London                                                                   	He was born in Chingford in 1922 and attended Clacton County High School before being accepted into                                                                                                                                                                                                         	|, where he studied Modern Languages .                                                                                                                                                                                                                                                                       
FIGER_train                             	Haghill                                                                                             	The park was established in 1866 when the City Improvement Trustees purchased Alexandra Park from Mr Walter Stewart of                                                                                                                                                                                      	|under special powers conferred upon them by legislation .                                                                                                                                                                                                                                                   
FIGER_train                             	Guinea-Conakry                                                                                      	At the 2009 annual meeting of the General Board , it was decided that the denomination would enter the following new nations :                                                                                                                                                                              	|( Africa Region ) , Niger ( Africa Region ) ; Moldova ( Eurasia Region ) , and Norway ( Eurasia Region ) .                                                                                                                                                                                                  
FIGER_train                             	Gebze                                                                                               	Anadolu Medical Center ( Anadolu Saglik Merkezi ) is a hospital in                                                                                                                                                                                                                                          	|, Kocaeli , Turkey .                                                                                                                                                                                                                                                                                        
FIGER_train                             	Clearfield County , Pennsylvania                                                                    	The Glendale School District is a public school district in Flinton , Cambria County , Pennsylvania and                                                                                                                                                                                                     	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Vienna                                                                                              	Angelo was capped for 20 times by Portugal , making his debut on 27 September 1953 at Prater Stadium in                                                                                                                                                                                                     	|( Austria 9 - Portugal 1 ) Qualif .                                                                                                                                                                                                                                                                         
FIGER_train                             	Kolombangara                                                                                        	Allied reconnaissance aircraft sighted Jojima 's supply convoy 210minmi kmon from Guadalcanal between                                                                                                                                                                                                       	|and Choiseul in the Slot at 14:45 on the same day , and reported it as two " cruisers " and six destroyers .                                                                                                                                                                                                
FIGER_train                             	Louisiana Superdome to face the                                                                     	at Louisiana Superdome , New Orleans , Louisiana Riding a six-game winning streak , the Eagles traveled to the                                                                                                                                                                                              	|NFC South champion New Orleans Saints .                                                                                                                                                                                                                                                                     
FIGER_train                             	Tel Aviv University                                                                                 	Born in Tel Aviv , Brizon gained a BA in political science from the Hebrew University of Jerusalem and a BA in philosophy from                                                                                                                                                                              	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Chebogue , Nova Scotia                                                                              	He was born in                                                                                                                                                                                                                                                                                              	|, the son of Captain Elkanah Clements and Lucy Holmes .                                                                                                                                                                                                                                                     
FIGER_train                             	England                                                                                             	Spetisbury Priory , also Spettisbury Priory , was a medieval priory in Spetisbury or Spettisbury , Dorset ,                                                                                                                                                                                                 	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Teilorte                                                                                            	Großalmerode 's                                                                                                                                                                                                                                                                                             	|are Weißenbach , Trubenhausen , Uengsterode , Rommerode , Laudenbach and Epterode .                                                                                                                                                                                                                         
FIGER_train                             	Saudi Arabia                                                                                        	Al hamra &amp; # 39 ; , Al Madinah is a village in Al Madinah Province , in western                                                                                                                                                                                                                         	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Norwalk                                                                                             	In 1852 , the first railroad line in Danbury opened , with two trains making the 75-minute trip to                                                                                                                                                                                                          	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Brunei                                                                                              	May 27 &amp; ndash ; Tunku Abdul Rahman , Prime Minister of Malaya , holds a press conference in Singapore , announcing his idea to form the Federation of Malaysia , comprising Malaya , Singapore , Sarawak ,                                                                                             	|and North Borneo ( Sabah ) .                                                                                                                                                                                                                                                                                
FIGER_train                             	New York City                                                                                       	Alex Schomburg was born on May 10 , 1905 in Puerto Rico , and moved to                                                                                                                                                                                                                                      	|in the early 1920s , where he began work as a commercial artist with three of his brothers .                                                                                                                                                                                                                
FIGER_train                             	Egypt                                                                                               	The Rafah Border Crossing ( معبر رفح Ma ` bar Rafaḥ , מעבר רפיח ) is an international border crossing between                                                                                                                                                                                               	|and Palestinian-controlled Rafah .                                                                                                                                                                                                                                                                          
