Choi_train                              	we                                                                                                  	A Shell spokesman said that " Libya offers significant oil and gas prospects , and                                                                                                                                                                                                                          	|have been engaged in discussions with the National Oil Co. regarding possible opportunities , " but he refused to comment on progress made on the discussions .                                                                                                                                             
Choi_train                              	European private-equity group GMT Communications Partners                                           	In June 2008 , General Electric and NBC Universal , along with                                                                                                                                                                                                                                              	|, bought out a 70 percent share of Bigpoint .                                                                                                                                                                                                                                                               
Choi_train                              	They                                                                                                	                                                                                                                                                                                                                                                                                                            	|fear that small , low - powered cars will be rejected out of hand in the U.S. market .                                                                                                                                                                                                                      
Choi_train                              	it                                                                                                  	When the company discovered that OP-1 triggers the growth of tendrillike projections on neurons , called dendrites ,                                                                                                                                                                                        	|decided to test the protein 's potential for brain repair after strokes . ``                                                                                                                                                                                                                                
Choi_train                              	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|also charges agencies with reducing the number of cost - plus contracts that leave the government vulnerable to wasteful spending and demands that contract overcharges in excess of $ 10 million ( euro7.5 million ) be disclosed to Congress .                                                            
Choi_train                              	it                                                                                                  	A Washington lobbying firm , Bonner & amp ; Associates , has admitted sending the letters and said                                                                                                                                                                                                          	|had fired the person responsible .                                                                                                                                                                                                                                                                          
Choi_train                              	a major corporation like Apple                                                                      	Similarly , when                                                                                                                                                                                                                                                                                            	|gets exposed for questionable labor practices in their Chinese assembly plants , it should surprise no one that a whistleblower like monologist Mike Daisey gets targeted as a scapegoat who must be discredited and diminished in the public 's eye .                                                      
Choi_train                              	The present corporation                                                                             	                                                                                                                                                                                                                                                                                                            	|dates its founding to the opening of a franchised restaurant by Ray Kroc , in Des Plaines , Illinois on April 15 , 1955 , the ninth McDonald 's restaurant overall .                                                                                                                                        
Choi_train                              	it                                                                                                  	A Washington lobbying firm , Bonner & amp ; Associates , has admitted sending the letters and said                                                                                                                                                                                                          	|had fired the person responsible .                                                                                                                                                                                                                                                                          
Choi_train                              	a corporation as a juridical person                                                                 	Under English law                                                                                                                                                                                                                                                                                           	|is capable of both committing and being convicted of crimes .                                                                                                                                                                                                                                               
Choi_train                              	a famous corporation                                                                                	This certification of Citrix will get you a distinguished success in your specialist life and you will face no trouble in acquiring a top position in                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	Adidas                                                                                              	I 'm sure others will be , and                                                                                                                                                                                                                                                                              	|do well when they use their ` straight ' trainers and embed them in popular culture , though I 'm sure Run DMC helped a lot .                                                                                                                                                                               
Choi_train                              	the corporation                                                                                     	A group of franchisees purchased                                                                                                                                                                                                                                                                            	|back from Beatrice Foods in 1982 .                                                                                                                                                                                                                                                                          
Choi_train                              	The MLK development corporation board                                                               	                                                                                                                                                                                                                                                                                                            	|will consist of just six members and one chairperson , and the deputy First Minister and I will appoint them .                                                                                                                                                                                              
Choi_train                              	Bertelsmann                                                                                         	In 2002                                                                                                                                                                                                                                                                                                     	|admitted that they lied about their involvement with Adolf Hitler and the Nazi party , which included making profits from slave labour and publishing propaganda .                                                                                                                                          
Choi_train                              	Remington Products , which he famously purchased after his wife bought him his first electric shaver	He first made his fortune as the President and CEO of                                                                                                                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|is the primary exporters that are being left the farthest behind in global development .                                                                                                                                                                                                                    
Choi_train                              	a benefit corporation                                                                               	Since pure charity did n't work , devcoin was changed to a beneficial organization , similar in concept to                                                                                                                                                                                                  	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|is known for its ports of various games on the Madden NFL , FIFA , Need for Speed , The Sims and Tiger Woods PGA Tour series for Electronic Arts and the DJ Hero series for Activision .                                                                                                                    
Choi_train                              	they                                                                                                	In particular ,                                                                                                                                                                                                                                                                                             	|are investigating short - selling activity -- when an investor sells a stock or other asset they have borrowed , hoping to buy it later at a lower price , thereby earning a profit .                                                                                                                       
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Choi_test                               	it                                                                                                  	At the same time ,                                                                                                                                                                                                                                                                                          	|plans the use digital audience polling as a way to improve the company 's odds for releasing commercially successful CDs .                                                                                                                                                                                  
Choi_test                               	companies that caused the economic meltdown                                                         	Bin Laden also slammed financial bailouts set up by wealthy countries to help big industry cope with the global financial crisis , saying the programmes helped                                                                                                                                             	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	it                                                                                                  	Despite being a budget carrier ,                                                                                                                                                                                                                                                                            	|will offer a business class section , the statement said .                                                                                                                                                                                                                                                  
Choi_test                               	Automatix                                                                                           	I first encountered normalized correlation in the summer of 1987 , working my first paying job at a company called                                                                                                                                                                                          	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	it                                                                                                  	Separately , the Swiss National Bank said Friday                                                                                                                                                                                                                                                            	|would now offer six billion dollars on a 14-day basis , doubling the amount of funds available to 12 billion dollars per month .                                                                                                                                                                            
Choi_test                               	it                                                                                                  	The Chicago company said in a regulatory filing Thursday                                                                                                                                                                                                                                                    	|plans to use up to $ 344.5 million of the proceeds to buy back shares from existing shareholders , including founder and CEO Andrew Mason .                                                                                                                                                                 
Choi_test                               	it                                                                                                  	The Dow Jones industrials component , which beat earnings estimates by a penny per share for the quarter , said                                                                                                                                                                                             	|expects earnings to grow 10 percent to 15 percent this year and will be sustained through 2006 as well .                                                                                                                                                                                                    
Choi_test                               	it                                                                                                  	Sony also said                                                                                                                                                                                                                                                                                              	|will reorganize its electronics and games divisions to better integrate the company 's sprawling businesses .                                                                                                                                                                                               
