OntoNotes_train                         	breakup                                                                                             	But it hints strongly that both organizations would increasingly lose their clout as the changes , particularly the introduction of wholesale trade and the                                                                                                                                                 	|of state monopolies , take effect .                                                                                                                                                                                                                                                                         
OntoNotes_train                         	GOP                                                                                                 	Sen. Pete Domenici-LRB-R . , N.M.-RRB - , the ranking Republican on the Senate Budget Committee , used his influence to preserve more than $ 132,000 in subsidies for air service to Sante Fe , N.M. , and more than $ 2.1 million would go for service to eight communities in the western Nebraska district of	|Rep. Virginia Smith on the House Appropriations Committee .                                                                                                                                                                                                                                                 
OntoNotes_train                         	wreckage                                                                                            	Sorting out the                                                                                                                                                                                                                                                                                             	|is expected to take several days .                                                                                                                                                                                                                                                                          
OntoNotes_train                         	yesterday                                                                                           	Then                                                                                                                                                                                                                                                                                                        	|he resigned , triggering the vote in about 2 months , and guess who under current Israeli law would be ineligible to run for Prime Minister ?                                                                                                                                                               
OntoNotes_train                         	Cold War                                                                                            	As Marshall toyed with `` flexibility '' -- and the Joint Chiefs cherry-picked his conjuring of Moscow 's might for their own budgetary purposes , while ignoring the real import , and limits , of RMA -- the                                                                                              	|ended in the equivocations and evasions of Bill Clinton 's two terms in office and the low-rent , self-congratulatory installing of mafia regimes in Bosnia and Kosovo .                                                                                                                                    
OntoNotes_train                         	Saturday                                                                                            	Jews have                                                                                                                                                                                                                                                                                                   	|, and Christians have Sunday .                                                                                                                                                                                                                                                                              
OntoNotes_train                         	ended                                                                                               	Five years ago today , the O.J . Simpson trial                                                                                                                                                                                                                                                              	|with an acquittal .                                                                                                                                                                                                                                                                                         
OntoNotes_train                         	moving                                                                                              	Stan Boleslawski wrote : John , While at this point in the NG 's existence , when there is a decline in SHWI activity , it does pain me to cite the charter in order to shoot down anyone 's post , I do have to say that the TL you posit about American fundie Christians                                 	|to Israel with the result of Israel being Christianized is future history and thus OT for SHWI .                                                                                                                                                                                                            
OntoNotes_train                         	First                                                                                               	In yesterday 's report ,                                                                                                                                                                                                                                                                                    	|Interstate said its bank in Texas also reported a loss of $ 23.5 million for the quarter .                                                                                                                                                                                                                  
OntoNotes_train                         	evidence                                                                                            	There is no                                                                                                                                                                                                                                                                                                 	|that any ranking American officer on duty pressed an intellectual or moral challenge to the unfolding debacle -- even after it was too glaring to be ignored .                                                                                                                                              
OntoNotes_train                         	force                                                                                               	A month later , U.S. and Pakistani                                                                                                                                                                                                                                                                          	|has a lead on Osama Bin Laden , but by the time they moved in , he had vanished again .                                                                                                                                                                                                                     
OntoNotes_train                         	Second                                                                                              	Once the cars pass the Minchuan or the                                                                                                                                                                                                                                                                      	|Macarthur Bridge , the landscape becomes dotted with the large signs of major retailers .                                                                                                                                                                                                                   
OntoNotes_train                         	attack                                                                                              	In addition , President Clinton has written to Yemeni President Ali Abdullah Saleh requesting increased co-operation into the investigation of last month 's                                                                                                                                                	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_train                         	fallen                                                                                              	Both have been raised at least 30 % in recent years , even while the price of gasoline has                                                                                                                                                                                                                  	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_train                         	troubles                                                                                            	He said , `` May God punish me and give me many                                                                                                                                                                                                                                                             	|if I eat bread or any other food before the sun goes down . ''                                                                                                                                                                                                                                              
OntoNotes_train                         	scandal                                                                                             	Remember after the Jayson Blair                                                                                                                                                                                                                                                                             	|broke we had a seven thousand word story that did not give a full account of what happened . Especially about why is a major institution like the Times ignoring so many red flags .                                                                                                                        
OntoNotes_train                         	Republican                                                                                          	Ed Rogers is a                                                                                                                                                                                                                                                                                              	|political consultant who served in the first Bush White House .                                                                                                                                                                                                                                             
OntoNotes_train                         	yesterday                                                                                           	While the advance cheered investors who feared a 1987-style crash would occur                                                                                                                                                                                                                               	|, it was strictly a big-stock rally fed by huge buying by bargain-hunting institutions and program traders .                                                                                                                                                                                                
OntoNotes_train                         	unification                                                                                         	After German                                                                                                                                                                                                                                                                                                	|, Soviet troops stationed in Germany starting from 1991 , withdrew in groups .                                                                                                                                                                                                                              
OntoNotes_train                         	fell                                                                                                	In 1988 , exports of domestically produced toys and games                                                                                                                                                                                                                                                   	|19 % from 1987 , to HK $ 10.05 billion-LRB-US $ 1.29 billion-RRB - .                                                                                                                                                                                                                                        
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------OntoNotes_test                          	a recent , impassioned speech to a group of hundreds of lawyers in Chicago                          	But his level of frustration showed in                                                                                                                                                                                                                                                                      	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_test                          	the event                                                                                           	World public opinion has reacted strongly to                                                                                                                                                                                                                                                                	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_test                          	The handover ceremony for China mechanical products purchased by Argentina 's LaRioja Province using a loan provided by the Bank of China	                                                                                                                                                                                                                                                                                                            	|, was held today in Catamarca City of this province .                                                                                                                                                                                                                                                       
OntoNotes_test                          	the hearings                                                                                        	As I watched him on C - Span , I heard him speak those lovely words about the Bill of Rights , which he quotes from the transcript of                                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_test                          	dismissal                                                                                           	`` If true , '' the court wrote , `` this contention would justify                                                                                                                                                                                                                                          	|of these actions on prudential grounds . ''                                                                                                                                                                                                                                                                 
OntoNotes_test                          	the October 1987 crash                                                                              	Rightly or wrongly , many giant institutional investors appear to be fighting the latest war by applying the lesson they learned in                                                                                                                                                                         	|: Buying at the bottom pays off .                                                                                                                                                                                                                                                                           
OntoNotes_test                          	a visit                                                                                             	They will also go to Shanghai for                                                                                                                                                                                                                                                                           	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_test                          	the market rally                                                                                    	Meanwhile , Friday brought a reprieve for money managers whose investment styles had put them at odds with                                                                                                                                                                                                  	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_test                          	this '' ferocious and inexcusable '' bombing                                                        	He said that no one feels                                                                                                                                                                                                                                                                                   	|is just .                                                                                                                                                                                                                                                                                                   
OntoNotes_test                          	the anniversary                                                                                     	In a similar vein , he adds that                                                                                                                                                                                                                                                                            	|of the 1987 crash and Saturday 's full moon could have played a part , too , in Friday 's market activity .                                                                                                                                                                                                 
OntoNotes_test                          	military actions                                                                                    	Ashitaer , the UN representative of Yemen strongly condemned this incident and asked the United Nations Security Council to be responsible for the passed resolution No. 678 which permits                                                                                                                  	|against Iraq .                                                                                                                                                                                                                                                                                              
OntoNotes_test                          	military actions against Iraq                                                                       	Ashitaer , the UN representative of Yemen strongly condemned this incident and asked the United Nations Security Council to be responsible for the passed resolution No. 678 which permits                                                                                                                  	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_test                          	the Double Ninth Festival                                                                           	The water used comes from the Chishui river that flows over cinnabar quality soil and selectively uses such locally produced raw materials as sorghum , high quality wheat , etc. and is fermented during the period from the Chinese Dragon Boat Festival to                                               	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_test                          	Friday 's market rout                                                                               	Pension funds , insurers and other behemoths of the investing world said they began scooping up stocks during                                                                                                                                                                                               	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_test                          	the signing of a joint investment agreement between the US 's General Electric Capital Company and the Shanghai Electricity Company to jointly invest in and establish a combustible engine electric power generation company	Today , Brown separately attended the signing of a 20 - year joint investment agreement between a world famous power plant equipment manufacturer -- the US 's Westinghouse Company and the Shanghai Electric Group ; and                                                                                   	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_test                          	the conflict                                                                                        	Tunisia has again appealed to international conscience to take action , to stop the blood and end the destructive war , and create conditions for a peaceful settlement of                                                                                                                                  	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_test                          	the destructive war                                                                                 	Tunisia has again appealed to international conscience to take action , to stop the blood and end                                                                                                                                                                                                           	|, and create conditions for a peaceful settlement of the conflict .                                                                                                                                                                                                                                         
OntoNotes_test                          	the handing - over and taking - over ceremony                                                       	Minister of China 's Mechanical Industry Ministry , Xuding Bao , who came specially to attend                                                                                                                                                                                                               	|, handed this group of mechanical products whose total value is 5.5 million US dollars , to Masa , the governor of LaRioja Province .                                                                                                                                                                       
OntoNotes_test                          	previous anniversaries                                                                              	When Justice William Brennan marks the start of his 34th year on the Supreme Court today , the occasion will differ sharply from                                                                                                                                                                            	|of his tenure .                                                                                                                                                                                                                                                                                             
OntoNotes_test                          	a special meeting for shareholders                                                                  	Separately , the company said it expects to hold                                                                                                                                                                                                                                                            	|in early 1990 to vote on its proposed reorganization .                                                                                                                                                                                                                                                      
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------FIGER_filtered_with_OntoNotes_test      	Bhangra Bash                                                                                        	Ramachandra said she believes these resources would help fund more constituents ’ events , such as                                                                                                                                                                                                          	|.                                                                                                                                                                                                                                                                                                           
FIGER_filtered_with_OntoNotes_test      	Global Social Entrepreneurship Competition                                                          	“ Be the Change ” committee members used the Foster School of Business ’ annual                                                                                                                                                                                                                             	|( GSEC ) as a model to design their competition .                                                                                                                                                                                                                                                           
FIGER_filtered_with_OntoNotes_test      	House Committee on Judiciary ’s public hearing                                                      	UW law students Amy Shebeck , Thomas Hudson , Caroline Bercier , and Michael Windle will testify during the                                                                                                                                                                                                 	|today .                                                                                                                                                                                                                                                                                                     
FIGER_filtered_with_OntoNotes_test      	Fellows Forum                                                                                       	Newly elected fellows are invited to attend the annual                                                                                                                                                                                                                                                      	|, held this year in Vancouver , B.C .                                                                                                                                                                                                                                                                       
FIGER_filtered_with_OntoNotes_test      	CES                                                                                                 	Also at                                                                                                                                                                                                                                                                                                     	|, the SD Association announced a new standard for WiFi communications across all the SD cards .                                                                                                                                                                                                             
FIGER_filtered_with_OntoNotes_test      	The Fellows Forum                                                                                   	                                                                                                                                                                                                                                                                                                            	|, concerned in part with the induction of newly elected fellows , is just one event of the association ’s annual meeting .                                                                                                                                                                                  
FIGER_filtered_with_OntoNotes_test      	CES                                                                                                 	Speaking at                                                                                                                                                                                                                                                                                                 	|, both companies have no plans to jump to the new formats in the near future , and Lexar pointed out that its new 1000x card is faster than Sony 's XQD .                                                                                                                                                   
FIGER_filtered_with_OntoNotes_test      	Bhangra Bash                                                                                        	“                                                                                                                                                                                                                                                                                                           	|used to be our biggest event because we would fly in people from all of the country , but as one RSO , it was way too hard for us to put it on as a group , ” Ramachandra said .                                                                                                                            
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------BBN_filtered_with_OntoNotes_test        	World Series                                                                                        	Baseball , that game of the long haul , is the quintessential sport of the mean , and the mean ol ' law caught up with the San Francisco Giants in the                                                                                                                                                      	|last weekend .                                                                                                                                                                                                                                                                                              
BBN_filtered_with_OntoNotes_test        	Harrisburg 7 trial                                                                                  	The                                                                                                                                                                                                                                                                                                         	|in 1972 , in which Daniel Berrigan and others were charged with plotting anti-war-related violence , was a landmark .                                                                                                                                                                                       
BBN_filtered_with_OntoNotes_test        	Hurricane Hugo                                                                                      	At the same time , personal income was held down by the effects of                                                                                                                                                                                                                                          	|, which tore through parts of North and South Carolina in late September .                                                                                                                                                                                                                                  
BBN_filtered_with_OntoNotes_test        	Series                                                                                              	Rickey Henderson , the do-everything leadoff man , had nine hits and set or tied four-game                                                                                                                                                                                                                  	|marks for triples -LRB- 2 -RRB- and stolen bases -LRB- 3 -RRB- .                                                                                                                                                                                                                                            
BBN_filtered_with_OntoNotes_test        	Game Four                                                                                           	That came in the seventh inning of                                                                                                                                                                                                                                                                          	|when , trailing 8-2 , they scored four times and brought their big heat -- Will Clark and Kevin Mitchell -- to the plate with one out and a runner on .                                                                                                                                                     
BBN_filtered_with_OntoNotes_test        	Oakland Series                                                                                      	Even with that power show , though , the                                                                                                                                                                                                                                                                    	|' star , certified by the Most Valuable Player award , was a pitcher , Dave Stewart .                                                                                                                                                                                                                       
BBN_filtered_with_OntoNotes_test        	Game Three                                                                                          	The sole A not to homer was cleanup hitter Mark McGwire , their regular-season leader with 33 , and he contributed five hits plus a diving fielding play on a ground ball in                                                                                                                                	|that stopped a Giant rally while the issue still was in doubt .                                                                                                                                                                                                                                             
BBN_filtered_with_OntoNotes_test        	World War II                                                                                        	One chapter opens : ``                                                                                                                                                                                                                                                                                      	|was not one of France 's glorious moments . ''                                                                                                                                                                                                                                                              
BBN_filtered_with_OntoNotes_test        	Indianapolis 500                                                                                    	Then , in the guests ' honor , the speedway hauled out four drivers , crews and even the official                                                                                                                                                                                                           	|announcer for a 10-lap exhibition race .                                                                                                                                                                                                                                                                    
BBN_filtered_with_OntoNotes_test        	Watergate                                                                                           	No doubt there is something to irk everyone in this AT & T-sponsored dramatization of Bob Woodward and Carl Bernstein 's book about                                                                                                                                                                         	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_OntoNotes_test        	Super Bowl                                                                                          	CBS will air the                                                                                                                                                                                                                                                                                            	|, baseball playoffs , college and pro basketball finals and other premier sports events .                                                                                                                                                                                                                   
BBN_filtered_with_OntoNotes_test        	Olympics                                                                                            	Mr. Frank told Mr. Pilson that                                                                                                                                                                                                                                                                              	|officials wanted $ 290 million or more for TV rights to the 1994 Winter Games in Norway .                                                                                                                                                                                                                   
BBN_filtered_with_OntoNotes_test        	Tokyo Show                                                                                          	`` We 've got to get out of the Detroit mentality and be part of the world mentality , '' declares Charles M. Jordan , GM 's vice president for design , in explaining his pilgrimage to the                                                                                                                	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_OntoNotes_test        	Black Monday                                                                                        	THE STOCK MARKET AVOIDED a repeat of                                                                                                                                                                                                                                                                        	|as prices recovered from an early slide , spurred by bargain-hunting institutions and program traders .                                                                                                                                                                                                     
BBN_filtered_with_OntoNotes_test        	World War II                                                                                        	Ms. Rose is best on the early years and                                                                                                                                                                                                                                                                     	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_OntoNotes_test        	World War II                                                                                        	They let me down when the Japanese came down -LCB- during                                                                                                                                                                                                                                                   	|-RCB- ... .                                                                                                                                                                                                                                                                                                 
BBN_filtered_with_OntoNotes_test        	New York City Marathon                                                                              	Sunday , Nov. 5 , 10:30 a.m.-1:30 p.m. EST , on ABC :                                                                                                                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_OntoNotes_test        	Series                                                                                              	The stat to reckon with here says that about three of four clubs -LRB- 29 of 39 -RRB- that took 2-0                                                                                                                                                                                                         	|leads went on to win it all .                                                                                                                                                                                                                                                                               
BBN_filtered_with_OntoNotes_test        	Black Monday                                                                                        	Ever since that fearful                                                                                                                                                                                                                                                                                     	|, they 've been tirelessly wooing wary individual investors -- trying to convince them that Oct. 19 , 1987 , was a fluke and that the stock market really is a safe place for average Americans to put their hard-earned dollars .                                                                          
BBN_filtered_with_OntoNotes_test        	Summer Games                                                                                        	During the 1984                                                                                                                                                                                                                                                                                             	|, for example , ABC touted `` Call to Glory , '' but the military drama was missing in action within weeks .                                                                                                                                                                                                
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Choi_filtered_with_OntoNotes_test       	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|is the first kidnapping of foreigners since rivals Hamas and Fatah reached a power - sharing deal last month and ended their political strife .                                                                                                                                                             
Choi_filtered_with_OntoNotes_test       	a James Milner own goal                                                                             	Carew had given Villa an early lead but Jody Craddock equalised before                                                                                                                                                                                                                                      	|gave the visitors a lead they held until the final minutes , only to be denied what would have been a precious victory in their fight for survival .                                                                                                                                                        
Choi_filtered_with_OntoNotes_test       	the task                                                                                            	The Tu-95MS strategic bombers have successfully completed                                                                                                                                                                                                                                                   	|during the 11-hour flight by patrolling over neutral waters , Vladimir Drik was quoted as saying by the RIA Novosti news agency .                                                                                                                                                                           
Choi_filtered_with_OntoNotes_test       	valuable signings                                                                                   	After being relegated in the Pro40 competition the year before , as well as suffering the retirements of veterans Ronnie Irani and Andy Flower , Essex made                                                                                                                                                 	|in Jason Gallian from Nottinghamshire , David Masters from Leicestershire and also Chris Wright from Middlesex .                                                                                                                                                                                            
Choi_filtered_with_OntoNotes_test       	an international tour of The Hollow Crown                                                           	In 2002 Richardson joined Sir Derek Jacobi , Sir Donald Sinden and Dame Diana Rigg in                                                                                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_OntoNotes_test       	its effects                                                                                         	But those problems are minor compared with sea level rise , induced by global warming , and the efforts people make to fight                                                                                                                                                                                	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_OntoNotes_test       	even minor offenses                                                                                 	`` People are getting deported for                                                                                                                                                                                                                                                                          	|like not having an ID or a driver 's license , '' said Cesar Espinosa of America for All , a group that helps immigrants in Houston .                                                                                                                                                                       
Choi_filtered_with_OntoNotes_test       	Anniversary events                                                                                  	                                                                                                                                                                                                                                                                                                            	|began with sirens sounding at 11:20 am -LRB- 0920 GMT -RRB- , when the first bombs of Israel 's `` Operation Cast Lead , '' launched in a bid to halt years of rocket fire from the enclave , slammed into the coastal strip .                                                                              
Choi_filtered_with_OntoNotes_test       	time for New Year                                                                                   	It 's best to get going early so that you have the meat ready to give out to friends and relatives in                                                                                                                                                                                                       	|. ``                                                                                                                                                                                                                                                                                                        
Choi_filtered_with_OntoNotes_test       	the largest professional wrestling promotion in the world                                           	It is currently                                                                                                                                                                                                                                                                                             	|and holds an extensive library of videos representing a significant portion of the visual history of professional wrestling .                                                                                                                                                                               
Choi_filtered_with_OntoNotes_test       	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|began a second round of visits to a detention camp in southern Iraq on Tuesday .                                                                                                                                                                                                                            
Choi_filtered_with_OntoNotes_test       	several major Christian music festivals over the next few months                                    	Ayiesha Woods performed at                                                                                                                                                                                                                                                                                  	|, including Creation East , Creation West , and Lifefest , as well as the 2008 Christian Music Boat Cruise .                                                                                                                                                                                                
Choi_filtered_with_OntoNotes_test       	it                                                                                                  	He disclosed that France is proposing a summit of heads of state on proliferation in the coming months and expects Pakistan to participate in                                                                                                                                                               	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_OntoNotes_test       	bilateral trade                                                                                     	Although the tariff-removal rate is slower than the provision under most other free trade agreements , the deal with India is still expected to boost                                                                                                                                                       	|by up to 3.3 billion U.S. dollars , the state-run Korea Institute for International Economic Policy -LRB- KIEP -RRB- forecast .                                                                                                                                                                             
Choi_filtered_with_OntoNotes_test       	it                                                                                                  	The apology is being viewed as a watershed in Australia , with major television networks airing                                                                                                                                                                                                             	|live and crowds gathering around huge screens in major cities to witness the event .                                                                                                                                                                                                                        
Choi_filtered_with_OntoNotes_test       	courtesy of a two-run eighth inning                                                                 	However , the Angels still won                                                                                                                                                                                                                                                                              	|, with RBIs from Mike Napoli and Robb Quinlan .                                                                                                                                                                                                                                                             
Choi_filtered_with_OntoNotes_test       	it                                                                                                  	If Typhoon Kaemi stays its current course ,                                                                                                                                                                                                                                                                 	|could slam into Taiwan Tuesday and lash the island with powerful winds and heavy rains , CWB meteorologists predicted , adding that Hualien and Taitung might see sporadic rain from Monday afternoon and that the intensity of the rain will increase later that night .                                   
Choi_filtered_with_OntoNotes_test       	the crucial vote                                                                                    	Lawmakers have been wrangling for weeks about the election law , and observers , including the U.S. , had worried that failure to agree on the guidelines might delay                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
Choi_filtered_with_OntoNotes_test       	Stockholm Open                                                                                      	The 2004 If                                                                                                                                                                                                                                                                                                 	|was an ATP tennis tournament played on hard courts and held in Stockholm , Sweden .                                                                                                                                                                                                                         
Choi_filtered_with_OntoNotes_test       	attack                                                                                              	They underscored how much the Catholic Church has felt under                                                                                                                                                                                                                                                	|from recent news reports and from criticism over how it has handled charges of child molestation against priests in the past .                                                                                                                                                                              
