BBN_train                               	NFL                                                                                                 	He calls the contracts `` critical to winning in the                                                                                                                                                                                                                                                        	|'' and has played his part in the bidding wars .                                                                                                                                                                                                                                                            
BBN_train                               	Goldman                                                                                             	Rated single-B-1 by Moody 's Investors Service Inc. and single-B-plus by Standard & amp ; Poor 's Corp. , the issue will be sold through underwriters led by                                                                                                                                                	|, Sachs & amp ; Co .                                                                                                                                                                                                                                                                                        
BBN_train                               	Westinghouse Electric                                                                               	Other major issues hitting highs included American Telephone & amp ; Telegraph Co. ,                                                                                                                                                                                                                        	|Corp. , Exxon Corp. and Cigna Corp. , the big insurer .                                                                                                                                                                                                                                                     
BBN_train                               	Skadden Arps                                                                                        	Mr. Wolf has eschewed merger advice from a major Wall Street securities firm , relying instead only on a takeover lawyer , Peter Atkins of                                                                                                                                                                  	|Slate Meagher & amp ; Flom .                                                                                                                                                                                                                                                                                
BBN_train                               	Gannett                                                                                             	Knight-Ridder Inc. is faced with continued uncertainty over the pending joint operating agreement between its Detroit Free Press and                                                                                                                                                                        	|'s Detroit News , and has told analysts that earnings were down in the third quarter .                                                                                                                                                                                                                      
BBN_train                               	The                                                                                                 	                                                                                                                                                                                                                                                                                                            	|Toronto-based real estate concern said each bond warrant entitles the holder to buy C $ 1,000 principal amount of debentures at par plus accrued interest to the date of purchase .                                                                                                                         
BBN_train                               	New York                                                                                            	One employee with the group said RJR moved 11 employees of the group back to                                                                                                                                                                                                                                	|in September because `` there was supposed to be a future . ''                                                                                                                                                                                                                                              
BBN_train                               	New York                                                                                            	The new edition lists the top 10 metropolitan areas as Anaheim-Santa Ana , Calif. ; Boston ; Louisville , Ky. ; Nassau-Suffolk , N.Y. ;                                                                                                                                                                     	|; Pittsburgh ; San Diego ; San Francisco ; Seattle ; and Washington .                                                                                                                                                                                                                                       
BBN_train                               	big                                                                                                 	For one thing , there is an old master on the wall -- `` Samuel Anointing David , '' a                                                                                                                                                                                                                      	|baroque canvas painted by Mattia Preti , a 17th-century Neapolitan .                                                                                                                                                                                                                                        
BBN_train                               	recommendation                                                                                      	Mr. Stevens said he kept a `` buy\/hold ''                                                                                                                                                                                                                                                                  	|on the stock only because `` all the damage has been done . ''                                                                                                                                                                                                                                              
BBN_train                               	big                                                                                                 	The basket products are `` an evolutionary step '' in solving problems in trading                                                                                                                                                                                                                           	|blocks of stock that came to light in the 1987 market crash , said SEC Commissioner Joseph Grundfest .                                                                                                                                                                                                      
