BBN_train                               	Senate                                                                                              	The broader question is where the                                                                                                                                                                                                                                                                           	|stands on the issue .                                                                                                                                                                                                                                                                                       
BBN_train                               	federal                                                                                             	Interest on the bonds will be treated as a preference item in calculating the                                                                                                                                                                                                                               	|alternative minimum tax that may be imposed on certain investors .                                                                                                                                                                                                                                          
BBN_train                               	supports                                                                                            	The contract provides additional equipment for Northrop , the prime contractor on the missile , and also                                                                                                                                                                                                    	|a 1990 purchase of 90 missiles for follow-on flight tests .                                                                                                                                                                                                                                                 
BBN_train                               	mayoral                                                                                             	Names of possible deputies that have surfaced include former                                                                                                                                                                                                                                                	|candidate Richard Ravitch , former schools chancellor Frank Macchiarola and Messrs. Leventhal and Gliedman .                                                                                                                                                                                                
BBN_train                               	officials                                                                                           	Dataproducts                                                                                                                                                                                                                                                                                                	|declined to comment , and said they had not yet seen a suit filed in federal court by DPC Acquisition that seeks to nullify a standstill agreement between DPC Acquisition and Dataproducts .                                                                                                               
BBN_train                               	general manager                                                                                     	He also rejected reports that his departure stemmed from disappointment the                                                                                                                                                                                                                                 	|'s post had n't also led to a board directorship at the London-based news organization .                                                                                                                                                                                                                    
BBN_train                               	Judges                                                                                              	Six years ago , Judge O'Kicki was voted president of the Pennsylvania Conference of State Trial                                                                                                                                                                                                             	|by the state 's 400 judges .                                                                                                                                                                                                                                                                                
BBN_train                               	The                                                                                                 	                                                                                                                                                                                                                                                                                                            	|bureau 's report also showed that while some measures of the nation 's economic well-being improved modestly in 1988 , the fruits of prosperity were shared less equitably than the year before .                                                                                                           
BBN_train                               	Carlos                                                                                              	                                                                                                                                                                                                                                                                                                            	|A. Salvagni , vice president , pharmaceutical manufacturing , will assume responsibility for manufacturing in Kalamazoo , Mich. , effective Nov. 1 .                                                                                                                                                        
BBN_train                               	George Mitchell                                                                                     	Senate Majority Leader                                                                                                                                                                                                                                                                                      	|( D. , Maine ) said yesterday on NBC-TV 's `` Meet the Press '' that Mr. Ortega 's threat was `` a very unwise move , particularly the timing of it . ''                                                                                                                                                    
BBN_train                               	Congress                                                                                            	The issue of seeking relief from                                                                                                                                                                                                                                                                            	|was raised to Delbert Staley , the chairman of Nynex .                                                                                                                                                                                                                                                      
BBN_train                               	man                                                                                                 	Messrs. Guber and Peters assiduously courted the                                                                                                                                                                                                                                                            	|'s widow for months , showing her a tape of `` Gorillas in the Mist '' to impress her with the quality of their work .                                                                                                                                                                                      
BBN_train                               	scientists                                                                                          	A potentially safer whooping cough vaccine made by novel genetic engineering techniques was described by a team of Italian , U.S. and Japanese                                                                                                                                                              	|.                                                                                                                                                                                                                                                                                                           
BBN_train                               	vice president                                                                                      	Alan Nymark , executive                                                                                                                                                                                                                                                                                     	|of Investment Canada , which oversees foreign takeovers , said it marked the first time in its four-year history that the agency has made an adverse net-benefit decision about the acquisition of a publicly traded company .                                                                              
BBN_train                               	Mr                                                                                                  	An investment in Chile 's telephone company is carried at US $ 300 million but really worth US $ 500 million , and the company 's property portfolio is undervalued by at least A $ 250 million ,                                                                                                           	|. Bond said .                                                                                                                                                                                                                                                                                               
BBN_train                               	lawmakers                                                                                           	The Section 89 victory could have a downside by making it harder to oppose                                                                                                                                                                                                                                  	|on other health proposals .                                                                                                                                                                                                                                                                                 
BBN_train                               	announcing                                                                                          	Abraham Lincoln Federal Savings Bank sank 4 to 13 after                                                                                                                                                                                                                                                     	|a shakeup that will change senior management and reorganize the bank 's mortgage business as a separate unit .                                                                                                                                                                                              
BBN_train                               	Attorney                                                                                            	Food and Drug Administration spokesman Jeff Nesbit said the agency has turned over evidence in a criminal investigation concerning Vitarine Pharmaceuticals Inc. to the U.S.                                                                                                                                	|'s office in Baltimore .                                                                                                                                                                                                                                                                                    
BBN_train                               	executives                                                                                          	Since commercial airline flights were disrupted , the company chartered three planes to fly these                                                                                                                                                                                                           	|back to the West Coast and bring along portable computers , cellular phones and some claims adjusters .                                                                                                                                                                                                     
BBN_train                               	The                                                                                                 	                                                                                                                                                                                                                                                                                                            	|Thurmond bill would also add five new crimes punishable by death , including murder for hire .                                                                                                                                                                                                              
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------BBN_test                                	Crane                                                                                               	Mr.                                                                                                                                                                                                                                                                                                         	|did n't return a call seeking comment .                                                                                                                                                                                                                                                                     
BBN_test                                	Bush                                                                                                	The White House said the shipboard meetings next month between                                                                                                                                                                                                                                              	|and Soviet leader Gorbachev will take place in the waters off Malta .                                                                                                                                                                                                                                       
BBN_test                                	Hillary                                                                                             	`` Foothills wants to make it clear to other pipeline companies that it 's on first insofar as transporting gas from the Arctic to southern markets , '' Mr.                                                                                                                                                	|said .                                                                                                                                                                                                                                                                                                      
BBN_test                                	Front                                                                                               	On the one hand , Mr.                                                                                                                                                                                                                                                                                       	|says , it would be misguided to sell into `` a classic panic . ''                                                                                                                                                                                                                                           
BBN_test                                	Charles Gardner                                                                                     	                                                                                                                                                                                                                                                                                                            	|, a former Unisys vice president , and James Neal , a former company consultant , have admitted participating in this and other bribery schemes .                                                                                                                                                           
BBN_test                                	Breene                                                                                              	In an interview in New York , Mr.                                                                                                                                                                                                                                                                           	|, fresh from a Concorde flight from Paris where executives had worked through most of the night , outlined big plans for the new agency .                                                                                                                                                                   
BBN_test                                	Zapfel                                                                                              	`` But I 'm not one of these great dollar bears you see more of these days , '' Mr.                                                                                                                                                                                                                         	|said .                                                                                                                                                                                                                                                                                                      
