FIGER_train                             	Ferrari                                                                                             	A Ferrari Berlinetta Boxer is one of a series of cars produced by                                                                                                                                                                                                                                           	|in Italy between 1973 and 1984 .                                                                                                                                                                                                                                                                            
FIGER_train                             	TBF Avenger                                                                                         	On 14 November 1942 , during the Naval Battle of Guadalcanal , Kinugasa was attacked by                                                                                                                                                                                                                     	|torpedo-bombers and SBD Dauntless dive bombers from the '' USS Enterprise '' and USMC Avengers from Guadalcanal .                                                                                                                                                                                           
FIGER_train                             	Rolls-Royce Avon                                                                                    	His son was Alan Arnold Griffith , who was the inventor of the                                                                                                                                                                                                                                              	|jet engine .                                                                                                                                                                                                                                                                                                
FIGER_train                             	launches                                                                                            	The union covered deckhands employed on ferries , tugs ,                                                                                                                                                                                                                                                    	|, lighters and hoppers , as well as enginemen , wharf hands , turnstill hands , change hands , firemen , motorboat coxmen and assistants .                                                                                                                                                                  
FIGER_train                             	Project Natal ( later renamed Kinect ) and                                                          	At Electronic Entertainment Expo 2009 , Microsoft and Sony each presented their own new motion controllers :                                                                                                                                                                                                	|PlayStation Move , respectively .                                                                                                                                                                                                                                                                           
FIGER_train                             	harpsichord                                                                                         	He most often used the term Bearbeitung for transcriptions of music originally written for an instrument in which the tone is produced by plucking or striking a string , e.g.                                                                                                                              	|, clavichord , or lute .                                                                                                                                                                                                                                                                                    
FIGER_train                             	HMS '' Terrible ''                                                                                  	Late in the evening Saumarez 's flagship HMS '' Caesar '' lost its foretopmast in strong winds , and command passed to Sir Richard Bickerton in                                                                                                                                                             	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	keyboardist                                                                                         	Main composer and                                                                                                                                                                                                                                                                                           	|Niclas Olsson gathered the band , recording a four track demo which resulted in a record deal with AOR Heaven .                                                                                                                                                                                             
FIGER_train                             	HMS Bombay Castle                                                                                   	The British Royal Navy lost the ships of line HMS Courageux , wrecked off Gibraltar and                                                                                                                                                                                                                     	|, foundered in the shoals of Tagus river 's mouth , as well as two frigates .                                                                                                                                                                                                                               
FIGER_train                             	Sukhoi PAK FA ( T-50 )                                                                              	In September 2007 Sukhoi unveiled a passenger jet , the Superjet 100 , at the airport , as well in January 2010 the new fifth generation stealth fighter jet the                                                                                                                                            	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Windows                                                                                             	SlickEdit lists around 60 supported programming languages and file typesC , C + + , Java , HTML , PHP , XML ,                                                                                                                                                                                               	|batch files , AWK , Makefiles or INI files .                                                                                                                                                                                                                                                                
FIGER_train                             	Cadillac Escalade                                                                                   	In 2001 , Ovando pleaded guilty to drug trafficking after 50 grams of cocaine and 37 grams of marijuana were found in his                                                                                                                                                                                   	|and a handgun was found beneath the hood , despite him being paralyzed .                                                                                                                                                                                                                                    
FIGER_train                             	Maxim gun                                                                                           	The British armed them with a 3 pounder in the fore and a                                                                                                                                                                                                                                                   	|aft .                                                                                                                                                                                                                                                                                                       
FIGER_train                             	Game Boy Advance                                                                                    	Front cover of Madagascar : Operation Penguin by Activision , for the                                                                                                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	comic book                                                                                          	Fishboy : Denizen of the Deep was a black and white comic strip appearing in the British                                                                                                                                                                                                                    	|Buster between 1968 and 1975 , written by Scott Goodall and drawn by John Stokes and others .                                                                                                                                                                                                               
FIGER_train                             	Heinkel He .111                                                                                     	April 26 - During the Spanish Civil War , Luftwaffe                                                                                                                                                                                                                                                         	|bombers of Legion Condor attack Guernica , Spain , in the first example of " carpet bombing " to demoralize a civilian population .                                                                                                                                                                         
FIGER_train                             	F4F Wildcat                                                                                         	The escorts immediately moved towards the contact , while Guadalcanal moved away at top speed and launched an                                                                                                                                                                                               	|fighter to join another Wildcat and a TBM Avenger which were already airborne .                                                                                                                                                                                                                             
FIGER_train                             	Oscar Meyer                                                                                         	Scientific Protein Laboratories is a Waunakee , Wisconsin scientific company established in 1976 by                                                                                                                                                                                                         	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Columbia                                                                                            	It was the third boat to win the America 's Cup twice , in 1974 and 1977 , after Intrepid in 1967 and 1970 , and                                                                                                                                                                                            	|in 1899 and 1901 .                                                                                                                                                                                                                                                                                          
FIGER_train                             	GALEX                                                                                               	Images from the Hubble Space Telescope ( HST ) , Spitzer Space Telescope ( infrared ) or                                                                                                                                                                                                                    	|space telescope ( ultraviolet ) are " PD-NASA-USgov " .                                                                                                                                                                                                                                                     
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------FIGER_test                              	UHS-I                                                                                               	The flagship                                                                                                                                                                                                                                                                                                	|series will be available in 8GB , 16GB , and 32GB versions , and promises 94MB/s read and 45MB/s write speeds .                                                                                                                                                                                             
FIGER_test                              	SD                                                                                                  	Also at CES , the SD Association announced a new standard for WiFi communications across all the                                                                                                                                                                                                            	|cards .                                                                                                                                                                                                                                                                                                     
FIGER_test                              	EyeFi                                                                                               	With the huge popularity of                                                                                                                                                                                                                                                                                 	|cards , this should make wireless communication directly from an SD card even easier .                                                                                                                                                                                                                      
FIGER_test                              	Holga                                                                                               	Students in FotoKonbit workshops used                                                                                                                                                                                                                                                                       	|cameras to document their communities , and the resulting images are beautiful in their complexity — struggle , pride , love , simplicity , hope , despair — in a word : life .                                                                                                                             
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------BBN_filtered_with_FIGER_test            	Lisa                                                                                                	The plaintiffs also alleged that prior to the fanfare , the company circulated internal memos indicating problems with                                                                                                                                                                                      	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_FIGER_test            	SuperDot                                                                                            	Used by program traders and others to zip orders into the exchange ,                                                                                                                                                                                                                                        	|handles about 80 % of all orders entered at the exchange .                                                                                                                                                                                                                                                  
BBN_filtered_with_FIGER_test            	Mark VII                                                                                            	They build the Lincoln Town Car , Continental and                                                                                                                                                                                                                                                           	|, the Ford Escort and full-sized pickup trucks .                                                                                                                                                                                                                                                            
BBN_filtered_with_FIGER_test            	FSX fighter-plane                                                                                   	Japan-U.S. trade relations are bumpy these days , and some Japanese favor decreasing their reliance on U.S. technology in light of the                                                                                                                                                                      	|flap , when U.S. officials reversed an earlier decision and refused to share certain crucial fighter-plane technology .                                                                                                                                                                                     
BBN_filtered_with_FIGER_test            	Lada Niva                                                                                           	Even the Soviet Union came , for the first time in 24 years , to show off its                                                                                                                                                                                                                               	|sedan and its futuristic dark-blue `` Kompakt '' model .                                                                                                                                                                                                                                                    
BBN_filtered_with_FIGER_test            	747-400                                                                                             	As a `` good-will measure , '' the pilots had been working four extra hours a month and had agreed to fly UAL 's two new Boeing                                                                                                                                                                             	|aircraft .                                                                                                                                                                                                                                                                                                  
BBN_filtered_with_FIGER_test            	Lisa                                                                                                	In 1987 , the San Francisco district court dismissed the case largely because newspaper reports had sufficiently counterbalanced the company 's statements by alerting consumers to                                                                                                                         	|'s problems .                                                                                                                                                                                                                                                                                               
BBN_filtered_with_FIGER_test            	Cutlass Ciera Wagon                                                                                 	The assembly plant builds the Cadillac DeVille , Chevrolet Caprice and Oldsmobile                                                                                                                                                                                                                           	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_FIGER_test            	Accord Coupes                                                                                       	Honda Motor Co. , the first Japanese auto maker to ship cars to Japan from the U.S. , is now exporting more than 5,000                                                                                                                                                                                      	|a year from its Marysville , Ohio , factory .                                                                                                                                                                                                                                                               
BBN_filtered_with_FIGER_test            	Continental                                                                                         	They build the Lincoln Town Car ,                                                                                                                                                                                                                                                                           	|and Mark VII , the Ford Escort and full-sized pickup trucks .                                                                                                                                                                                                                                               
BBN_filtered_with_FIGER_test            	Marvelon                                                                                            	Mr. Bergsma said Akzo hopes to have approval to sell its                                                                                                                                                                                                                                                    	|pill in the U.S. in 1992 .                                                                                                                                                                                                                                                                                  
BBN_filtered_with_FIGER_test            	CF6-6                                                                                               	The engine involved was a                                                                                                                                                                                                                                                                                   	|made by General Electric Co .                                                                                                                                                                                                                                                                               
BBN_filtered_with_FIGER_test            	Scrum                                                                                               	Mazda has the Bongo truck and , under its Autozam nameplate , a `` microvan '' called the                                                                                                                                                                                                                   	|.                                                                                                                                                                                                                                                                                                           
BBN_filtered_with_FIGER_test            	SuperDot                                                                                            	A faster version , the                                                                                                                                                                                                                                                                                      	|, was launched in 1984 .                                                                                                                                                                                                                                                                                    
BBN_filtered_with_FIGER_test            	Promise                                                                                             	Though it is far from certain that companies best known for selling                                                                                                                                                                                                                                         	|margarine and Tide detergent will succeed in cosmetics , there 's little doubt they will shake up the industry .                                                                                                                                                                                            
BBN_filtered_with_FIGER_test            	747-400                                                                                             	That included 21 of the company 's                                                                                                                                                                                                                                                                          	|jumbo jets , its most successful product . `` It 's not a pretty picture , '' said David Smith , an analyst with Raymond James & Associates .                                                                                                                                                               
BBN_filtered_with_FIGER_test            	Galileo                                                                                             	The space shuttle Atlantis landed at a desert air strip at Edwards Air Force Base , Calif. , ending a five-day mission that dispatched the Jupiter-bound                                                                                                                                                    	|space probe .                                                                                                                                                                                                                                                                                               
BBN_filtered_with_FIGER_test            	Bongo                                                                                               	Mazda has the                                                                                                                                                                                                                                                                                               	|truck and , under its Autozam nameplate , a `` microvan '' called the Scrum .                                                                                                                                                                                                                               
BBN_filtered_with_FIGER_test            	Aziza                                                                                               	The mass-market                                                                                                                                                                                                                                                                                             	|brand , which it acquired in 1987 along with Chesebrough-Pond 's Inc. , has lost share , according to industry analysts .                                                                                                                                                                                   
BBN_filtered_with_FIGER_test            	Fantasy                                                                                             	Carnival , for example , has already paid about $ 160 million of the total cost for                                                                                                                                                                                                                         	|.                                                                                                                                                                                                                                                                                                           
