OntoNotes_train                         	Oakland                                                                                             	Typical , perhaps , was the situation at New United Motor Manufacturing Inc. , the General Motors Corp.-Toyota joint-venture auto plant in Fremont , about 35 miles south of                                                                                                                                	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_train                         	San Salvador                                                                                        	Just outside the capital of                                                                                                                                                                                                                                                                                 	|, a hillside collapsed in the community of Las Colinas , burying more than 260 homes and 1,200 residents .                                                                                                                                                                                                  
OntoNotes_train                         	Hills                                                                                               	However , five other countries -- China , Thailand , India , Brazil and Mexico -- will remain on that so-called priority watch list as a result of an interim review , U.S. Trade Representative Carla                                                                                                      	|announced .                                                                                                                                                                                                                                                                                                 
OntoNotes_train                         	Beihai                                                                                              	This reporter recently drove to cities such as Guangxi 's Fangchenggang , Qinzhou ,                                                                                                                                                                                                                         	|, Zhanjiang , etc . to gather news , and saw that with the opening and operation of the Nanning-Kunming railway , these four port cities along the coast of the Northern Gulf have docks that are anxious and busy with the loading and unloading of cargo , and along the coast , a number of new docks are speedily being constructed .
OntoNotes_train                         	Cuba                                                                                                	Opposition legislators boycotted Castro 's speech in the Venezuelan Congress to protest human rights abuses in                                                                                                                                                                                              	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_train                         	Antioch                                                                                             	When the church in Jerusalem heard about this , they sent Barnabas to                                                                                                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_train                         	Israeli                                                                                             	In an interview with                                                                                                                                                                                                                                                                                        	|Television Monday Mr. Mubarak said Israel knows what is necessary for peace , the return of lands captured in the 1967 Middle East war .                                                                                                                                                                    
OntoNotes_train                         	Santa Ana                                                                                           	                                                                                                                                                                                                                                                                                                            	|Redevelopment Agency -- $ 107 million of tax allocation bonds , 1989 Series A-D , via a Donaldson Lufkin & Jenrette Securities Corp. group .                                                                                                                                                                
OntoNotes_train                         	Babylonians                                                                                         	The Lord sent groups of                                                                                                                                                                                                                                                                                     	|, Arameans , Moabites , and Ammonites to fight against Jehoiakim .                                                                                                                                                                                                                                          
OntoNotes_train                         	Hong Kong                                                                                           	In recent years ,                                                                                                                                                                                                                                                                                           	|'s tourist attractions have gradually moved from Hong Kong Island to Kowloon and the New Territory .                                                                                                                                                                                                        
OntoNotes_train                         	Most                                                                                                	What the Chinese Nation Needs                                                                                                                                                                                                                                                                               	|is a Son like Zhou Enlai-LRB-In Commemoration of the 31st Anniversary of the Death of the People 's Good Premier-RRB                                                                                                                                                                                        
