BBN_train                               	total                                                                                               	His company ( annual sales : about $ 25 million ) may suffer a costly blow -- losing an estimated 10 % of                                                                                                                                                                                                   	|sales -- if Sony ( annual sales : about $ 16 billion ) prevails .                                                                                                                                                                                                                                           
BBN_train                               	troubled                                                                                            	Resolution Funding Corp. , known as Refcorp , a division of a new government agency created to bail out the nation 's                                                                                                                                                                                       	|savings and loan associations , will hold its first bond auction Wednesday , when it will sell $ 4.5 billion of 30-year bonds .                                                                                                                                                                             
BBN_train                               	yesterday                                                                                           	Michael shares closed at 13                                                                                                                                                                                                                                                                                 	|in national over-the-counter trading .                                                                                                                                                                                                                                                                      
BBN_train                               	dropped                                                                                             	Unfortunately , the organization 's desire for pork tends to override its commitment to overall fiscal responsibility . Two years ago when the NAHB lobbied for the $ 19 billion omnibus housing bill , the organization `` basically                                                                       	|out of the taxpayers ' coalition , '' says Ms. MacDonald .                                                                                                                                                                                                                                                  
BBN_train                               	January                                                                                             	The National Association of Diaper Services , Philadelphia , says that since                                                                                                                                                                                                                                	|it has gotten more than 672 inquiries from people interested in starting diaper services .                                                                                                                                                                                                                  
BBN_train                               	counted                                                                                             	But , as he and his skilled team soon discover , they 're up against two factors they had n't                                                                                                                                                                                                               	|on : first , a business climate in which a failing company with few assets and many debts can borrow against the assets of the successful company it hopes to acquire in order to finance the takeover ; second , that standing behind AIW is a sinister consortium of much bigger , shadier and shrewder foreign interests secretly providing the money and muscle for the deal .
BBN_train                               	political reforms                                                                                   	Japan is considering giving aid to Hungary and Poland to support their recent                                                                                                                                                                                                                               	|, a spokesman for the Foreign Ministry said .                                                                                                                                                                                                                                                               
BBN_train                               	Friday                                                                                              	Employers Casualty , which reported a $ 53.9 million third-quarter loss late                                                                                                                                                                                                                                	|, fell 2 to 13 .                                                                                                                                                                                                                                                                                            
BBN_train                               	fallen                                                                                              	When all else fails , Gucci Gulch -- the fabled halls of the Capitol inhabited by lobbyists and their imported shoes -- offers a welcome environment for                                                                                                                                                    	|officials .                                                                                                                                                                                                                                                                                                 
BBN_train                               	ended                                                                                               	Mortgage securities                                                                                                                                                                                                                                                                                         	|slightly higher but trailed gains in the Treasury market .                                                                                                                                                                                                                                                  
BBN_train                               	ended                                                                                               	Mitsubishi Estate                                                                                                                                                                                                                                                                                           	|the day at 2680 , up 150 .                                                                                                                                                                                                                                                                                  
