OntoNotes_train                         	Joppa                                                                                               	Peter stayed in                                                                                                                                                                                                                                                                                             	|for many days at the home of a man named Simon , who was a leatherworker .                                                                                                                                                                                                                                  
OntoNotes_train                         	bedlam                                                                                              	`` It was                                                                                                                                                                                                                                                                                                   	|on the upside , '' said one Big Board specialist .                                                                                                                                                                                                                                                          
OntoNotes_train                         	Florida                                                                                             	The incredibly close                                                                                                                                                                                                                                                                                        	|vote count for President is in the state courts and heading for the US Supreme Court at the end of the week .                                                                                                                                                                                               
OntoNotes_train                         	U.S. government                                                                                     	Investors are still waiting to see how the                                                                                                                                                                                                                                                                  	|will decide on interest rates and how the dollar will be stabilized .                                                                                                                                                                                                                                       
OntoNotes_train                         	Korean                                                                                              	The service -LSB- daigaku -RSB- : people speak Korean , and the large majority of customers are                                                                                                                                                                                                             	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_train                         	Drexel                                                                                              	During the past three weeks , for example ,                                                                                                                                                                                                                                                                 	|has sold $ 1.3 billion of new junk bonds for Turner Broadcasting Co. , Uniroyal Chemical , Continental Air and Duff & Phelps .                                                                                                                                                                              
OntoNotes_train                         	Michigan                                                                                            	In                                                                                                                                                                                                                                                                                                          	|, a second straight night and into this morning , hundreds of people have been rioting in Benton Harbor .                                                                                                                                                                                                   
OntoNotes_train                         	Treasury Department                                                                                 	Among legislative provisions attached to the bill is a ban on any                                                                                                                                                                                                                                           	|expenditure for enforcement of a 1986 tax provision intended to counter discrimination in employee-benefit plans .                                                                                                                                                                                          
OntoNotes_train                         	China                                                                                               	These include Japan 's relations with South Korea ,                                                                                                                                                                                                                                                         	|, and Russia which are all deteriorating , well , even including its relations with the US .                                                                                                                                                                                                                
OntoNotes_train                         	Asian                                                                                               	In addition , aerobics centers commonly provide classes in                                                                                                                                                                                                                                                  	|health techniques like yoga , tai-chi , and qigong .                                                                                                                                                                                                                                                        
OntoNotes_train                         	nice                                                                                                	and , I mean once they make friends with you , then they 're                                                                                                                                                                                                                                                	|to you .                                                                                                                                                                                                                                                                                                    
OntoNotes_train                         	World                                                                                               	When people were commenting on this , he again emerged mysteriously from obscurity and gave `` Water in Water `` to everyone which became the theme song of this                                                                                                                                            	|Swimming Championships .                                                                                                                                                                                                                                                                                    
OntoNotes_train                         	Iraq                                                                                                	Iran is encircled by Afghanistan , by the Gulf States ,                                                                                                                                                                                                                                                     	|and the Moslem republics of the former Soviet Union .                                                                                                                                                                                                                                                       
OntoNotes_train                         	condo                                                                                               	The official resident of that                                                                                                                                                                                                                                                                               	|, the man now charged with her murder , Michael Sears .                                                                                                                                                                                                                                                     
OntoNotes_train                         	Bay Area Rapid Transit                                                                              	A quarter of a million people cross the Bay Bridge every day , far more than the 100,000 that use the                                                                                                                                                                                                       	|system-LRB-BART-RRB -- - which was working but was n't stopping in the city 's Financial District yesterday afternoon because electricity was shut off and the area was being checked for gas leaks .                                                                                                       
OntoNotes_train                         	empire                                                                                              	The company had been one of the maninstays of Miami Beach financier Victor Posner 's                                                                                                                                                                                                                        	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_train                         	China                                                                                               	Regarding the investment in the Bank of                                                                                                                                                                                                                                                                     	|, Prince Al-Waleed said that the company had applied to invest as a representative of the Arab world and the Middle East , based on a request made by the Chinese authorities .                                                                                                                             
OntoNotes_train                         	vast                                                                                                	It is estimated that before the high tide on August 3rd of the lunar calendar , the                                                                                                                                                                                                                         	|majority of the city 's water damaged dike can hopefully , using earth building methods , receive emergency repairs .                                                                                                                                                                                       
OntoNotes_train                         	All                                                                                                 	                                                                                                                                                                                                                                                                                                            	|along they have been noting the tremors and pointing out the underlying realities .                                                                                                                                                                                                                         
OntoNotes_train                         	Taiwan                                                                                              	In the realm of politics , suggests Wong Hon Keong , Macau can also serve as a `` catalyst and lubricant for relations across the                                                                                                                                                                           	|Strait . ``                                                                                                                                                                                                                                                                                                 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------OntoNotes_test                          	the Tianjin Port Bonded Area                                                                        	Since being put into operation five years ago , the Tianjin Port Bonded Area has completed the construction of China 's first goods distribution center , functions like a customs port , opened up the special use the railway line from                                                                   	|passing Xi'an and Lanzhou to arrive at Xinjiang 's Allah Mountain pass customs port , established a number of large - scale materials circulation distribution and supply centers integrating storage , transportation and sales , opened multiple railway and international container joint - operations with a monthly loading and unloading capacity reaching 6,000 standard containers .
OntoNotes_test                          	a detoxification production base                                                                    	Laiwu City has established                                                                                                                                                                                                                                                                                  	|to carry out nursery detoxification on traditional products such as shallot , ginger and garlic , and after detoxification , the output of shallot , ginger and garlic has increased more than doubled .                                                                                                    
OntoNotes_test                          	the Grand Kempinski                                                                                 	Now kindred spirits on Addison 's town council have barred the town 's fanciest hotel ,                                                                                                                                                                                                                     	|, from installing three free pool tables in its new lounge .                                                                                                                                                                                                                                                
OntoNotes_test                          	Baltimore                                                                                           	Food and Drug Administration spokesman Jeff Nesbit said the agency has turned over evidence in a criminal investigation concerning Vitarine Pharmaceuticals Inc. to the U.S. Attorney 's office in                                                                                                          	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_test                          	one                                                                                                 	The Ningbo Bonded Area is                                                                                                                                                                                                                                                                                   	|of the 13 bonded areas in China and was established after approval by the State Council in 1992 .                                                                                                                                                                                                           
OntoNotes_test                          	a signatory country of GATT                                                                         	Uruguay resolutely supports the recovery of China 's status as                                                                                                                                                                                                                                              	|, and believes that it will make active contributions in the future World Trade Organization .                                                                                                                                                                                                              
OntoNotes_test                          	the first big western country                                                                       	Qichen Qian told the French guest that France is                                                                                                                                                                                                                                                            	|to establish diplomatic relations with China , and that over the past 30 years since the establishment of diplomatic relations between China and France , the development of bilateral relations has been satisfactory overall despite some complications .                                                 
OntoNotes_test                          	large - scale materials circulation distribution and supply centers integrating storage , transportation and sales	Since being put into operation five years ago , the Tianjin Port Bonded Area has completed the construction of China 's first goods distribution center , functions like a customs port , opened up the special use the railway line from the Tianjin Port Bonded Area passing Xi'an and Lanzhou to arrive at Xinjiang 's Allah Mountain pass customs port , established a number of	|, opened multiple railway and international container joint - operations with a monthly loading and unloading capacity reaching 6,000 standard containers .                                                                                                                                                 
OntoNotes_test                          	a continent filled with hopes                                                                       	He said , Latin America was                                                                                                                                                                                                                                                                                 	|, and possessed huge development potential .                                                                                                                                                                                                                                                                
OntoNotes_test                          	California 's                                                                                       	The transaction , announced in August , included about $ 146 million in deposits at the five outlets in                                                                                                                                                                                                     	|San Joaquin Valley .                                                                                                                                                                                                                                                                                        
OntoNotes_test                          	San Diego                                                                                           	Imperial Corp. , based in                                                                                                                                                                                                                                                                                   	|, is the parent of Imperial Savings & Loan .                                                                                                                                                                                                                                                                
OntoNotes_test                          	the Tianjin Port Bonded Area                                                                        	Since being put into operation five years ago ,                                                                                                                                                                                                                                                             	|has completed the construction of China 's first goods distribution center , functions like a customs port , opened up the special use the railway line from the Tianjin Port Bonded Area passing Xi'an and Lanzhou to arrive at Xinjiang 's Allah Mountain pass customs port , established a number of large - scale materials circulation distribution and supply centers integrating storage , transportation and sales , opened multiple railway and international container joint - operations with a monthly loading and unloading capacity reaching 6,000 standard containers .
OntoNotes_test                          	this province                                                                                       	A government official of Shandong Province told this reporter that                                                                                                                                                                                                                                          	|established agricultural new high level technology development and model zones beginning in 1992 , whose main purpose is to accelerate the transformation of agricultural new high level technology achievements through introducing agricultural new high level technologies from home and abroad to carry out development in order to provide effective models for agricultural production and rural economy development to promote the transformation of traditional agriculture into modern agriculture .
OntoNotes_test                          	China                                                                                               	According to regulations , the People 's Bank of China is the approving authority for international commercial loans borrowed by domestic institutions , the People 's Bank of                                                                                                                              	|has authorized the National Foreign Exchange Management Bureau to be specifically responsible for the approval , supervision and management of commercial loans by domestic institutions .                                                                                                                  
OntoNotes_test                          	Towards the                                                                                         	'' Taking the first step '' in Guangdong 's reform and opening up in the 1980 's was closely related to the situation at that time of the '' Peafowl Flying                                                                                                                                                 	|Southeast '' -LRB- human talents from all over , one after another , going to Guangdong -RRB- .                                                                                                                                                                                                             
OntoNotes_test                          	one                                                                                                 	Uruguay is                                                                                                                                                                                                                                                                                                  	|of the earliest countries in the Latin American region to develop trade with China , and bilateral trade development has been relatively rapid .                                                                                                                                                            
OntoNotes_test                          	various areas of Guangdong                                                                          	In order to satisfy the requirements of the continuously expanding overseas markets ,                                                                                                                                                                                                                       	|have adjusted to local conditions and selected famous , special and improved varieties , and have built up more than 2,000 agricultural export merchandise production and processing bases .                                                                                                                
OntoNotes_test                          	the borough                                                                                         	However , most people , having been subjected to news footage of the devastated South Bronx , look at                                                                                                                                                                                                       	|the way Tom Wolfe 's Sherman McCoy did in `` Bonfire of the Vanities '' -- as a wrong turn into hell .                                                                                                                                                                                                      
OntoNotes_test                          	this area                                                                                           	The United Nations Industrial Development Organization recently implemented a thorough investigation into the current state of industrial projects in the Tumen River region , and made some suggestions about future industrial development projects in                                                    	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_test                          	the US and Canada                                                                                   	At the beginning of 1993 , six cities such as Zhuhai , Foshan , etc. also organized a delegation to advertise in                                                                                                                                                                                            	|for students studying abroad .                                                                                                                                                                                                                                                                              
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------FIGER_filtered_with_OntoNotes_test      	UW Law ’s Legislative Advocacy Clinic                                                               	The lobbying students are part of a partnership between IPNW and                                                                                                                                                                                                                                            	|.                                                                                                                                                                                                                                                                                                           
FIGER_filtered_with_OntoNotes_test      	Milton                                                                                              	Agents arrested six of the accused Thursday morning , including the club ’s owner , Chang Young Kim , a 58-year-old                                                                                                                                                                                         	|resident ; and his wife , 35-year-old Yeun Jeong Mun .                                                                                                                                                                                                                                                      
FIGER_filtered_with_OntoNotes_test      	Seattle                                                                                             	Hirsh said many pieces remain to be put together to make a new arena work in                                                                                                                                                                                                                                	|.                                                                                                                                                                                                                                                                                                           
FIGER_filtered_with_OntoNotes_test      	Haitians                                                                                            	“ When you see what                                                                                                                                                                                                                                                                                         	|think is beautiful to photograph , important , profound , ” says Steber , “ you learn more about them than anything an outsider can show you .                                                                                                                                                              
FIGER_filtered_with_OntoNotes_test      	Northern Illinois University                                                                        	He has a bachelor ’s degree in political science and sociology from                                                                                                                                                                                                                                         	|and other credit hours in microeconomics from Concordia University in Canada .                                                                                                                                                                                                                              
FIGER_filtered_with_OntoNotes_test      	Seattle                                                                                             	McGinn said Friday that his office was approached last year by " a private party interested in making a significant investment to construct a new arena in                                                                                                                                                  	|. "                                                                                                                                                                                                                                                                                                         
FIGER_filtered_with_OntoNotes_test      	South Asian                                                                                         	Although the bill concerning it has been tabled by the ASUW Board of Directors , many students still feel a new commission representing                                                                                                                                                                     	|student groups would be beneficial to the community .                                                                                                                                                                                                                                                       
FIGER_filtered_with_OntoNotes_test      	Brooklyn                                                                                            	Hirsh estimated it would cost $ 400 million to build a new arena , although the NBA 's New Jersey Nets will spend $ 800 million on one in                                                                                                                                                                   	|.                                                                                                                                                                                                                                                                                                           
