OntoNotes_train                         	armored vehicle                                                                                     	Fourteen American troops were killed today in Iraq when a roadside bomb ripped through their lightly                                                                                                                                                                                                        	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_train                         	apparel                                                                                             	Gitano Group Inc. said it agreed to buy 50 % of Regatta Sport Ltd. , a closely held                                                                                                                                                                                                                         	|maker , with the assumption of $ 3 million of contingent debt .                                                                                                                                                                                                                                             
OntoNotes_train                         	boats                                                                                               	So they got into the                                                                                                                                                                                                                                                                                        	|and went to Capernaum to find Jesus .                                                                                                                                                                                                                                                                       
OntoNotes_train                         	window                                                                                              	Then she stood by the                                                                                                                                                                                                                                                                                       	|and looked out .                                                                                                                                                                                                                                                                                            
OntoNotes_train                         	improvement                                                                                         	His contract makes him `` exclusive '' spokesman for Sears 's home                                                                                                                                                                                                                                          	|marketing campaigns .                                                                                                                                                                                                                                                                                       
OntoNotes_train                         	clothes                                                                                             	Some people carried away handkerchiefs and                                                                                                                                                                                                                                                                  	|that Paul had used and put them on those who were sick .                                                                                                                                                                                                                                                    
OntoNotes_train                         	stuff                                                                                               	% um you know you got to sort of do that kind of weird                                                                                                                                                                                                                                                      	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_train                         	tenor                                                                                               	Very good                                                                                                                                                                                                                                                                                                   	|man .                                                                                                                                                                                                                                                                                                       
OntoNotes_train                         	pistol                                                                                              	Mr. Noriega did n't suffer from any hesitation once he had the                                                                                                                                                                                                                                              	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_train                         	Every                                                                                               	                                                                                                                                                                                                                                                                                                            	|family in heaven and on earth gets its true name from him .                                                                                                                                                                                                                                                 
OntoNotes_train                         	After                                                                                               	                                                                                                                                                                                                                                                                                                            	|the search and rescue operations have come to an end , reconstruction begins .                                                                                                                                                                                                                              
OntoNotes_train                         	After                                                                                               	                                                                                                                                                                                                                                                                                                            	|learning of this , what was Ran Guangqi , as county secretary and county head , thinking and doing ?                                                                                                                                                                                                        
OntoNotes_train                         	boat                                                                                                	Well , it was quite windy , gusty winds up to 40 , 50 miles an hour , and it came from southeast , and we got the alarm this distress situation just before 5:00 in the morning , and we were on relatively slow speed for the time being , but we of course , speeded up to the position , which was given , and after an hour , we spotted the fishing	|in the waters .                                                                                                                                                                                                                                                                                             
OntoNotes_train                         	first-rate                                                                                          	The year that he lost , Chen magnanimously said , `` a                                                                                                                                                                                                                                                      	|city is bound to be a very picky city . ``                                                                                                                                                                                                                                                                  
OntoNotes_train                         	voice                                                                                               	President F.W . de Klerk released the ANC men -- along with one of the founding members of the Pan Africanist Congress , a rival liberation group -- as part of his efforts to create a climate of trust and peace in which his government can begin negotiations with black leaders over a new constitution aimed at giving blacks a	|in national government .                                                                                                                                                                                                                                                                                    
