FIGER_train                             	Random House                                                                                        	She recently worked with editor David Ebershoff on a new memoir , Honeymoon in Tehran : Two years of love and danger in Iran , for                                                                                                                                                                          	|, published on April 13 , 2009 .                                                                                                                                                                                                                                                                            
FIGER_train                             	Atlanta Opera                                                                                       	He also directed and designed Humperdinck 's opera , Hansel and Gretel , for the Houston Grand Opera and the                                                                                                                                                                                                	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Comcast                                                                                             	( which became NBCU-owned in January 2011 due to NBCU 's purchase by                                                                                                                                                                                                                                        	|) , where it remained until its end in January 2009 , when the network had expanded their reach on digital cable systems enough to negate the simulcast .                                                                                                                                                   
FIGER_train                             	Mininova                                                                                            	IRMA who represent EMI , Sony-BMG , Warner Bros. and Universal are seeking that Eircom along with all other major Irish ISPs block access to file sharing sites such as The Pirate Bay and                                                                                                                  	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	Buro Happold                                                                                        	The design team included architects HOK Sport ( now known as Populous ) , construction consultants Arcadis AYH , and engineering firm                                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
FIGER_train                             	New York City                                                                                       	Elaine Radoff was born in The Bronx ,                                                                                                                                                                                                                                                                       	|, and graduated in 1954 with a Bachelor of Arts degree from Queens College , CUNY , where she studied with Karol Rathaus , Saul Novak and Leo Kraft .                                                                                                                                                       
FIGER_train                             	Clearwater Features                                                                                 	The Clearwater Periscope lens system was a type of television camera developed in 1985 by                                                                                                                                                                                                                   	|for use on children 's television series ' TUGS and Thomas the Tank Engine and Friends .                                                                                                                                                                                                                    
FIGER_train                             	National Hockey League                                                                              	Cumming Scott Burton ( born May 12 , 1936 in Sudbury , Ontario ) was a Canadian professional ice hockey right winger who played three seasons in the                                                                                                                                                        	|for the Detroit Red Wings .                                                                                                                                                                                                                                                                                 
FIGER_train                             	West Caribbean Airways                                                                              	Prior to its closing , the airport was served by Aerolinea de Antioquia and                                                                                                                                                                                                                                 	|, both of which flew 19 seat passenger aircraft to the airport .                                                                                                                                                                                                                                            
FIGER_train                             	Fair Trade                                                                                          	St. Francis Xavier School also sells                                                                                                                                                                                                                                                                        	|Certified Chocolates to help farmers get fair wages .                                                                                                                                                                                                                                                       
FIGER_train                             	Bus Eireann                                                                                         	Currow can also be accessed using the Irish bus network ,                                                                                                                                                                                                                                                   	|, although services are limited to the village , nearby stops are again found in Farranfore and also Castleisland .                                                                                                                                                                                         
