OntoNotes_train                         	Bush administration                                                                                 	                                                                                                                                                                                                                                                                                                            	|officials say inflation is under control .                                                                                                                                                                                                                                                                  
OntoNotes_train                         	al-Jazeera                                                                                          	Since the                                                                                                                                                                                                                                                                                                   	|TV station logo is on , people should be quite familiar with al-Jazeera TV station .                                                                                                                                                                                                                        
OntoNotes_train                         	Laura                                                                                               	but                                                                                                                                                                                                                                                                                                         	|was able to help her with the book a bit , you know by her sort of secretly wanting her to read it . and tell what sections are where                                                                                                                                                                       
OntoNotes_train                         	Gorbachev                                                                                           	So every time a Bush official raises a doubt about Mr.                                                                                                                                                                                                                                                      	|, the Washington community shouts `` Cold War '' and `` timidity , '' and an administration spokesman is quickly trotted out to reply , `` Mr. Bush wants perestroika to succeed . ''                                                                                                                       
OntoNotes_train                         	The                                                                                                 	                                                                                                                                                                                                                                                                                                            	|NTUST College of Management attracted nearly 500 applicants with over 10 years of work experience for 20 spots in its executive management program beginning in 1999 .                                                                                                                                      
OntoNotes_train                         	Saul                                                                                                	The messengers told                                                                                                                                                                                                                                                                                         	|'s message to the people at Jabesh , and they were very happy .                                                                                                                                                                                                                                             
OntoNotes_train                         	talk                                                                                                	In his                                                                                                                                                                                                                                                                                                      	|in Toronto on 22nd with Jiahua Zou , visiting vice-premier of the Chinese State Council , McLauren , minister of Canada 's International Trade , said that he has just returned from a visit to China , and that the rapid development of the Chinese economy has left a deep impression on him .           
OntoNotes_train                         	announced                                                                                           	Someone recently                                                                                                                                                                                                                                                                                            	|that they wanted to inmport some Indian ' put-put ' three-wheeled taxis to ply for hire in the middle of London-LRB-we already have a few pedal-powered rickshaws-RRB - ; I do n't know if that will ever come to pass .                                                                                    
OntoNotes_train                         	pizza delivery                                                                                      	A                                                                                                                                                                                                                                                                                                           	|helped police nab the suspect in the kidnapping of a 9-year-old California girl .                                                                                                                                                                                                                           
OntoNotes_train                         	World Trade                                                                                         	Other management experts note that once Taiwan joins the                                                                                                                                                                                                                                                    	|Organization-LRB-WTO-RRB - , foreign universities will be able to recruit students directly in Taiwan , and that with the Ministry of Education asking national universities to come up with a portion of their own funding , universities are doubly motivated to establish programs of this sort .        
OntoNotes_train                         	running                                                                                             	But attention also rivets on who finishes last , and Pine Bluff , Ark. -- which finished third to last in 1981 and second to last in 1985 -- is certainly in the                                                                                                                                            	|.                                                                                                                                                                                                                                                                                                           
