BBN_train                               	New York                                                                                            	The charge on loans to depository institutions by the                                                                                                                                                                                                                                                       	|Federal Reserve Bank .                                                                                                                                                                                                                                                                                      
BBN_train                               	Newport Beach                                                                                       	Welcome to that welter of contradictions known as                                                                                                                                                                                                                                                           	|.                                                                                                                                                                                                                                                                                                           
BBN_train                               	New York                                                                                            	Mr. Houston-Montgomery says that at the party he waved to Malcolm Forbes , publisher of Forbes magazine ( `` We 've been in the columns together '' ) , Mary Boone , a                                                                                                                                      	|art dealer ( `` I think she knows me , but I 'm not sure '' ) and Bridget Fonda , the actress ( `` She knows me , but we 're not really the best of friends '' ) .                                                                                                                                          
BBN_train                               	Scottish                                                                                            	`` All the takeover stocks --                                                                                                                                                                                                                                                                               	|& amp ; Newcastle , B.A.T , DRG -- are getting pretty well pasted this morning , '' Mr. Smith said .                                                                                                                                                                                                        
BBN_train                               	Zurich                                                                                              	Alusuisse is a subsidiary of Swiss Aluminium Ltd. , a                                                                                                                                                                                                                                                       	|, Switzerland , producer of aluminum , chemicals and packaging products .                                                                                                                                                                                                                                   
BBN_train                               	Chicago                                                                                             	Balmy temperatures are forecast for next week , said Robert Lekberg , an analyst at Farmers Grain & amp ; Livestock Corp. ,                                                                                                                                                                                 	|.                                                                                                                                                                                                                                                                                                           
BBN_train                               	Cleveland                                                                                           	She says it 'd create 600 jobs and bring                                                                                                                                                                                                                                                                    	|tourist revenue .                                                                                                                                                                                                                                                                                           
BBN_train                               	donnybrook                                                                                          	The last U.S. congressional authorization , in 1983 , was a political                                                                                                                                                                                                                                       	|and carried a $ 6 billion housing program along with it to secure adequate votes .                                                                                                                                                                                                                          
BBN_train                               	Oxnard                                                                                              	`` It has to weigh , on the other hand , the relatively high price of sugar it can earn on the export market in making decisions as to whether to produce sugar or alcohol , '' Mr.                                                                                                                         	|said .                                                                                                                                                                                                                                                                                                      
BBN_train                               	Dallas                                                                                              	But the court said it lacked enough financial information about Sunbelt and the FSLIC and sent the cases back to federal district court in                                                                                                                                                                  	|.                                                                                                                                                                                                                                                                                                           
BBN_train                               	Wells                                                                                               	                                                                                                                                                                                                                                                                                                            	|Rich first popularized the Benson & amp ; Hedges brand more than 20 years ago with ads portraying , among other things , an elevator door closing on a passenger 's cigarette .                                                                                                                             
BBN_train                               	Washington                                                                                          	Start-up costs for the                                                                                                                                                                                                                                                                                      	|Times alone were close to $ 50 million , and the total amount lost in this journalistic black hole was estimated at $ 150 million by 1984 .                                                                                                                                                                 
BBN_train                               	Mitchell                                                                                            	White House officials acknowledged yesterday that Democrats still are reluctant to publicly express support for the Packwood-Roth capital gains proposal because they are loath to buck Sen.                                                                                                                	|.                                                                                                                                                                                                                                                                                                           
BBN_train                               	New York                                                                                            	But in its ruling last April , the                                                                                                                                                                                                                                                                          	|court said that all producers of the anti-miscarriage drug should share liability when the manufacturer of a specific dose ca n't be determined .                                                                                                                                                           
BBN_train                               	East Berlin                                                                                         	The doctor was among dozens of people milling through                                                                                                                                                                                                                                                       	|'s Gethsemane Church Saturday morning .                                                                                                                                                                                                                                                                     
BBN_train                               	Many                                                                                                	                                                                                                                                                                                                                                                                                                            	|small investors went for the safety of money market funds .                                                                                                                                                                                                                                                 
BBN_train                               	Los Angeles                                                                                         	For example , the Herald consistently beat its much-larger rival on disclosures about                                                                                                                                                                                                                       	|Mayor Tom Bradley 's financial dealings .                                                                                                                                                                                                                                                                   
BBN_train                               	London                                                                                              	But people familiar with the agenda of the board 's meeting last week in                                                                                                                                                                                                                                    	|said Mr. McGovern was fired .                                                                                                                                                                                                                                                                               
BBN_train                               	Randolph                                                                                            	Dunkin ' is based in                                                                                                                                                                                                                                                                                        	|, Mass .                                                                                                                                                                                                                                                                                                    
BBN_train                               	London                                                                                              	One person who is past worrying about                                                                                                                                                                                                                                                                       	|'s blues is Christopher Hartley .                                                                                                                                                                                                                                                                           
