OntoNotes_train                         	Israelis                                                                                            	Yesterday Ehud Barak won the endorsement of his Labor Party as its candidate for Prime Minister and while his supporters may be cheering , many other                                                                                                                                                       	|have turned away from the man they elected just 18 months ago .                                                                                                                                                                                                                                             
OntoNotes_train                         	New York City                                                                                       	But the pullout is an embarrassment to                                                                                                                                                                                                                                                                      	|officials , coming at a time of high office building vacancy rates and departures by other major companies .                                                                                                                                                                                                
OntoNotes_train                         	General Electric                                                                                    	                                                                                                                                                                                                                                                                                                            	|of the US and the Southwest Medical Equipment Factory of the Medical Appliance Industry Company of China recently signed a contract to jointly invest 6 million US dollars to establish a joint venture enterprise in Chengdu .                                                                             
OntoNotes_train                         	Finnair                                                                                             	                                                                                                                                                                                                                                                                                                            	|, Finland 's state-owned airline , joined the wave of global airline alliances and signed a wide-ranging cooperation agreement with archrival Scandinavian Airlines System .                                                                                                                                
OntoNotes_train                         	division                                                                                            	Hughes Aircraft Co. , a unit of General Motors Corp. , said it agreed to purchase the Electro-Optics Technology                                                                                                                                                                                             	|of Perkin-Elmer Corp .                                                                                                                                                                                                                                                                                      
OntoNotes_train                         	legislators                                                                                         	Taiwan is small , and voters do not clearly distinguish between the roles of the head of state , elected                                                                                                                                                                                                    	|, and government bureaucrats .                                                                                                                                                                                                                                                                              
OntoNotes_train                         	Kodak                                                                                               	Nevertheless ,                                                                                                                                                                                                                                                                                              	|could n't risk letting HDTV turn its motion-picture film business into a dinosaur .                                                                                                                                                                                                                         
OntoNotes_train                         	Turner Broadcasting                                                                                 	So CNN , a unit of Atlanta-based                                                                                                                                                                                                                                                                            	|System Inc. , is trying to reposition itself as a primary channel , or what people in the television industry call a `` top of mind '' network .                                                                                                                                                            
OntoNotes_train                         	Soong                                                                                               	Except for some of his followers who were with him in the provincial government ,                                                                                                                                                                                                                           	|'s camp lacks any experience in inter-group political bargaining .                                                                                                                                                                                                                                          
OntoNotes_train                         	Royal Insurance                                                                                     	British life insurer London & General , which firmed 2 pence to 356 pence-LRB - $ 5.70-RRB - , and composite insurer                                                                                                                                                                                        	|, which finished 13 lower at 475 , were featured in the talk .                                                                                                                                                                                                                                              
OntoNotes_train                         	Israeli                                                                                             	Hezbollah geurillas announced this week that they have captured an                                                                                                                                                                                                                                          	|man and are holding him along with 3 Israeli soldiers they nabbed 9 days ago .                                                                                                                                                                                                                              
OntoNotes_train                         	fourteen                                                                                            	According to a briefing , the pace of municipal construction and of construction for opening of the cooperation zones of these                                                                                                                                                                              	|municipalities has accelerated .                                                                                                                                                                                                                                                                            
OntoNotes_train                         	What                                                                                                	                                                                                                                                                                                                                                                                                                            	|on earth does this mean ?                                                                                                                                                                                                                                                                                   
OntoNotes_train                         	Supreme Soviet                                                                                      	But that changed following a resolution from the                                                                                                                                                                                                                                                            	|banning cooperatives from operating in some areas of the economy , and permitting activity in others only if the cooperatives are under contract to the state .                                                                                                                                             
OntoNotes_train                         	interbank                                                                                           	The Hibor contract `` solves quite a bit of the problem of interest-rate risk in the                                                                                                                                                                                                                        	|market , '' says Eric Cheng , a director of James Capel-LRB-Far East-RRB-Ltd . , the Hong Kong arm of the British brokerage firm .                                                                                                                                                                          
OntoNotes_train                         	Stanford University                                                                                 	They only paid Tiger Woods $ 40 million for his deal coming out of                                                                                                                                                                                                                                          	|, but he had an amateur golf career where he posted scores and did things comparable to what is done on the PGA Tour .                                                                                                                                                                                      
