Choi_train                              	Seoul , South Korea                                                                                 	Sylvia Poll is a famous backstroker and freestyle swimmer for Costa Rica , who won the silver medal in the Swimming at the 1988 Summer Olympics Women 's 200 meter freestyle at the 1988 Summer Olympics in                                                                                                 	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	Sderot                                                                                              	Palestinians fired more than 220 Qassam rockets at Israel -LRB-                                                                                                                                                                                                                                             	|and western Negev -RRB- in over a week .                                                                                                                                                                                                                                                                    
Choi_train                              	Lucerne                                                                                             	The municipality is located in the lower Wiggertal , on the A2 motorway between Basel and                                                                                                                                                                                                                   	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	London                                                                                              	Born in America the son of Ian and Betty Ballantine of Ballantine Books fame , he now principally resides in                                                                                                                                                                                                	|, England .                                                                                                                                                                                                                                                                                                 
Choi_train                              	Lawrence , Massachusetts                                                                            	Recent immigrants from southern and eastern Europe were being blamed for the 1912 Bread and Roses Strike in nearby                                                                                                                                                                                          	|, which resulted in much violence and the involvement of the radical Industrial Workers of the World union .                                                                                                                                                                                                
Choi_train                              	almost every major city including Delhi , Mumbai , Kolkata , Ahmedabad , Hyderabad ,                	Hindus and Muslims were indulged in massive rioting across the country , and                                                                                                                                                                                                                                	|Bhopal struggled to control the Unrest .                                                                                                                                                                                                                                                                    
Choi_train                              	the city of Savannah                                                                                	On February 12 , 1733 , the first settlers landed in HMS Anne at what was to become                                                                                                                                                                                                                         	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	the city of White Plains , New York ,                                                               	He lived in                                                                                                                                                                                                                                                                                                 	|until September 2010 , when his mother was promoted again and they both moved to Manhattan , more precisely , in SoHo .                                                                                                                                                                                     
Choi_train                              	Zlotne                                                                                              	Gmina Nawojowa contains the villages and settlements of Bacza Kunina , Frycowa , Homrzyska , Nawojowa , Popardowa , Zeleznikowa Mala , Zeleznikowa Wielka and                                                                                                                                               	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	Yakubi                                                                                              	Dilawar was a 22-year-old Pashtun taxi driver and farmer from the small village of                                                                                                                                                                                                                          	|in the Khost Province of Afghanistan , who was 5ft9inmon tall , and weighed only 122lbkg .                                                                                                                                                                                                                  
Choi_train                              	Rome                                                                                                	When the Bishop of Tortona endeavoured to bring Bobbio under his own jurisdiction , Bertulf hastened to                                                                                                                                                                                                     	|, where Pope Honorius received him kindly and granted the monastery entire exemption from episcopal jurisdiction .                                                                                                                                                                                          
Choi_train                              	Masovian Voivodeship                                                                                	Bielice bje ' lice is a village in the administrative district of Gmina Sochaczew , within Sochaczew County ,                                                                                                                                                                                               	|, in east-central Poland .                                                                                                                                                                                                                                                                                  
Choi_train                              	Joseph                                                                                              	Grande Ronde and Wallowa Railway Company - follow the Grande Ronde River to connect Elgin , Wallowa , and                                                                                                                                                                                                   	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	Thebez                                                                                              	Surely he remembers that at                                                                                                                                                                                                                                                                                 	|a woman killed Abimelech son of Jerub Besheth when he threw the top part of a grinding stone down from the wall .                                                                                                                                                                                           
Choi_train                              	Ibaraki Prefecture                                                                                  	Upon the detection of an earthquake , the Japan Meteorological Agency issued a tsunami warning for Miyagi Prefecture , as well as tsunami alerts for Iwate Prefecture , Fukushima Prefecture , Aomori Prefecture ,                                                                                          	|and the Pacific Rim .                                                                                                                                                                                                                                                                                       
Choi_train                              	other western U.S. cities                                                                           	Having been late to develop an urban core of any substantial size , Las Vegas has retained very affordable real estate prices in comparison to                                                                                                                                                              	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	Baton Rouge                                                                                         	The Horace Wilkinson Bridge is a cantilever bridge carrying Interstate 10 across the Mississippi River from Port Allen in West Baton Rouge Parish to                                                                                                                                                        	|in East Baton Rouge Parish .                                                                                                                                                                                                                                                                                
Choi_train                              	Bangalore                                                                                           	This Sufi festival is one of the biggest of its kind , and is held in Mumbai , Delhi ,                                                                                                                                                                                                                      	|, Chennai , Kolkata , Pune and Hyderabad .                                                                                                                                                                                                                                                                  
Choi_train                              	Lausanne                                                                                            	Born in                                                                                                                                                                                                                                                                                                     	|, Celestini started playing professionally with hometown 's FC Lausanne-Sport , then had a four-season spell in France ; two seasons each with Troyes AC and Olympique de Marseille .                                                                                                                       
Choi_train                              	Gmina Przywidz                                                                                      	Czarna Huta ' czarna - ' huta is a village in the administrative district of                                                                                                                                                                                                                                	|, within Gdansk County , Pomeranian Voivodeship , in northern Poland .                                                                                                                                                                                                                                      
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Choi_test                               	Rimske Toplice                                                                                      	It lies on the left bank of the river Savinja , opposite                                                                                                                                                                                                                                                    	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	It                                                                                                  	                                                                                                                                                                                                                                                                                                            	|is located in the foothills of the Western Ghats near the Courtallam Waterfall and Tenkasi .                                                                                                                                                                                                                
Choi_test                               	Venice                                                                                              	The `` Deepwater Horizon '' drilling rig , owned by Swiss-based Transocean , sank April 22 some 52 km off                                                                                                                                                                                                   	|, after burning for roughly 36 hours .                                                                                                                                                                                                                                                                      
Choi_test                               	Sandy Hook                                                                                          	Shortly thereafter the Signal Corps became alarmed that their radar work was being observed by German spies , and moved development to                                                                                                                                                                      	|at Fort Hancock , the coast artillery defense site for Lower New York Bay .                                                                                                                                                                                                                                 
Choi_test                               	the Victoria Aces                                                                                   	South Australia hosted the New South Wales Patriots at Norwood Oval , Adelaide for the semi-final series , while                                                                                                                                                                                            	|hosted the championship series at La Trobe University , Melbourne .                                                                                                                                                                                                                                         
Choi_test                               	department stores                                                                                   	Under the terms of the contract , New York-based Gitano has the option to acquire the remaining 50 % of Regatta , a maker of men 's and women 's clothes sold primarily in                                                                                                                                  	|, under certain conditions .                                                                                                                                                                                                                                                                                
Choi_test                               	the places least damaged by the quake                                                               	The devastating 21 September earthquake of 1999 left Taiwan 's landscape covered in scars , but researchers discovered that                                                                                                                                                                                 	|were areas of natural forest .                                                                                                                                                                                                                                                                              
Choi_test                               	Arua town                                                                                           	In the late 1970s the Ugandan president at the time Godfrey Binaisa declared that all districts / provinces acquire their names from their regional capital so that is how Arua district inherited the name from                                                                                            	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	the neighbouring town of Lannion                                                                    	His grandfather , having made a small fortune with his fishing-shack , bought a house at Treguier and settled there , and his father , captain of a small cutter and an ardent republican , married the daughter of a Royalist tradesman from                                                               	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	Ilkley passing nearby                                                                               	Adel is situated near the site of a Roman fort , the ancient road from Tadcaster to                                                                                                                                                                                                                         	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	New Mexico                                                                                          	The Old Trails Road In                                                                                                                                                                                                                                                                                      	|, the predecessor to Route 66 was the Old Trails Road .                                                                                                                                                                                                                                                     
Choi_test                               	Vancouver , BC                                                                                      	Due to his inability to qualify , he did not compete in the 2010 Winter Olympics in                                                                                                                                                                                                                         	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	Montreal and Toronto                                                                                	In tennis the airline sponsors the Dubai Tennis Championships , and the Canadian Open tennis championships held in                                                                                                                                                                                          	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	it                                                                                                  	Located 320kmon inland from Hudson Bay ,                                                                                                                                                                                                                                                                    	|is near the nation 's geographical centre , and is notable for being the Canadian Arctic 's sole inland community .                                                                                                                                                                                         
Choi_test                               	Gloucestershire                                                                                     	The Faringdon rural district bordered                                                                                                                                                                                                                                                                       	|to the north west , Wiltshire to the west and Oxfordshire and the River Thames to the north .                                                                                                                                                                                                               
Choi_test                               	London                                                                                              	With the rise of Naziism , Bergner moved to                                                                                                                                                                                                                                                                 	|with director Paul Czinner and they were married in 1933 .                                                                                                                                                                                                                                                  
Choi_test                               	Beijing                                                                                             	Four years later , she was chosen to perform at the 11th Asian Games in                                                                                                                                                                                                                                     	|, and sang a duet with Spanish singer Julio Iglesias at the 1993 East Asian Games in Shanghai .                                                                                                                                                                                                             
Choi_test                               	Madrid                                                                                              	Elsewhere in Europe , Amsterdam dropped 0.65 percent , Brussels shed 0.86 percent ,                                                                                                                                                                                                                         	|was down 0.80 percent , Milan shed 0.81 percent and Swiss stocks slipped 0.14 percent .                                                                                                                                                                                                                     
Choi_test                               	Truk                                                                                                	On 13 April , the British deciphered an IJN message informing Inoue that the Fifth Carrier Division , consisting of the fleet carriers Japanese aircraft carrierShokaku2 and Japanese aircraft carrierZuikaku2 , was en route to his command from Formosa via the main IJN base at                          	|.                                                                                                                                                                                                                                                                                                           
Choi_test                               	New York , Chicago , Washington , DC , Philadelphia , San Francisco , and Los Angeles               	Headquartered in Stoneham , Massachusetts , StudyPoint employs 650 tutors and operates in 23 metropolitan areas , including                                                                                                                                                                                 	|.                                                                                                                                                                                                                                                                                                           
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------FIGER_filtered_with_Choi_test           	Seattle                                                                                             	Hirsh said many pieces remain to be put together to make a new arena work in                                                                                                                                                                                                                                	|.                                                                                                                                                                                                                                                                                                           
FIGER_filtered_with_Choi_test           	Seattle                                                                                             	Seattle City Council members said Friday they are troubled that Mayor Mike McGinn would hire a consultant to advise the city on the development of a new , state-of-the-art sports facility that could draw an NBA team back to                                                                             	|— without conferring with them .                                                                                                                                                                                                                                                                            
FIGER_filtered_with_Choi_test           	Seattle                                                                                             	Jung San So , 55 , of                                                                                                                                                                                                                                                                                       	|; suspected of being the current club manager .                                                                                                                                                                                                                                                             
FIGER_filtered_with_Choi_test           	Chicago                                                                                             	He was born in Jackson , Miss. , but was raised in                                                                                                                                                                                                                                                          	|.                                                                                                                                                                                                                                                                                                           
FIGER_filtered_with_Choi_test           	Seattle                                                                                             	The Sanctuary Art Center also has an education program , which is partnered with the Interagency Academy , an alternative school in                                                                                                                                                                         	|that allows young adults to get credit toward their GEDs by participating in the program .                                                                                                                                                                                                                  
FIGER_filtered_with_Choi_test           	Federal Way                                                                                         	Also arrested Thursday were : Miyoung Roberts , 40 , of                                                                                                                                                                                                                                                     	|; accused of being the current madam at the club .                                                                                                                                                                                                                                                          
FIGER_filtered_with_Choi_test           	Lake Placid                                                                                         	The move came late Friday afternoon after Scaringe dismissed Brian Barrett of                                                                                                                                                                                                                               	|as one of his defense attorneys .                                                                                                                                                                                                                                                                           
FIGER_filtered_with_Choi_test           	Milton                                                                                              	Agents arrested six of the accused Thursday morning , including the club ’s owner , Chang Young Kim , a 58-year-old                                                                                                                                                                                         	|resident ; and his wife , 35-year-old Yeun Jeong Mun .                                                                                                                                                                                                                                                      
FIGER_filtered_with_Choi_test           	San Antonio                                                                                         	The building was a partnership between the city and the Spurs , with                                                                                                                                                                                                                                        	|voters approving a visitor 's tax on hotels , motels and rental cars to finance three-fourths of the costs and the team contributing the rest , said Rick Pych , president of business operations for San Antonio Spurs Sports .                                                                            
FIGER_filtered_with_Choi_test           	Federal Way                                                                                         	A federal grand jury has indicted eight people suspected of operating a human-trafficking ring for interstate prostitution from a Korean nightclub in                                                                                                                                                       	|.                                                                                                                                                                                                                                                                                                           
FIGER_filtered_with_Choi_test           	Seattle                                                                                             	Christian Sinderman , a political consultant , said that while the number of people who want professional basketball returned to                                                                                                                                                                            	|is high , the number who think it 's essential is low .                                                                                                                                                                                                                                                     
FIGER_filtered_with_Choi_test           	New York                                                                                            	“ This was really exciting — ­ my first year in                                                                                                                                                                                                                                                             	|, fresh out of the Netherlands , ” Wieczorek said .                                                                                                                                                                                                                                                         
FIGER_filtered_with_Choi_test           	Port-au-Prince                                                                                      	Two years after a catastrophic earthquake occured near the capital of                                                                                                                                                                                                                                       	|, most of the images we see coming out of Haiti show damage and despair , and most come from foreign photographers .                                                                                                                                                                                        
FIGER_filtered_with_Choi_test           	Oklahoma City                                                                                       	Bennett said the city-owned arena lacked the amenities to support an NBA franchise and moved the team to                                                                                                                                                                                                    	|after failing to secure a new arena here .                                                                                                                                                                                                                                                                  
FIGER_filtered_with_Choi_test           	Bozeman                                                                                             	When he left the Army , Spencer got a job in                                                                                                                                                                                                                                                                	|, where he used acupuncture to save a dog that could n’t walk anymore .                                                                                                                                                                                                                                     
FIGER_filtered_with_Choi_test           	Seattle                                                                                             	" My direction to city staff and our experts is to focus on two goals : 1 ) Seriously explore and consider the opportunity , and 2 ) Ensure that taxpayers and the city of                                                                                                                                  	|are protected , particularly in light of the public 's direction through I-91 , " McGinn said in an emailed statement .                                                                                                                                                                                     
FIGER_filtered_with_Choi_test           	Billings                                                                                            	The 33-year-old                                                                                                                                                                                                                                                                                             	|native enlisted as a military veterinarian .                                                                                                                                                                                                                                                                
FIGER_filtered_with_Choi_test           	Federal Way                                                                                         	Kwang Frank Lee , 57 , of                                                                                                                                                                                                                                                                                   	|; accused of providing money to finance a bogus marriage tied to the scheme .                                                                                                                                                                                                                               
FIGER_filtered_with_Choi_test           	Ogdensburg                                                                                          	Barrett brought on Mary Rain of                                                                                                                                                                                                                                                                             	|as his co-counsel in the case at some point last year .                                                                                                                                                                                                                                                     
